All,全部
Cancel,取消
"Create Order",创建订单
Back,返回
Product,产品
Price,价格
Quantity,Quantity
ID,ID
SKU,SKU
Configure,配置
Customers,客户
"Shopping Cart",购物车
No,No
Qty,数量
Action,操作
Total,总数
"No item specified.",未指定项目
"Are you sure that you want to remove this item?",您是否确认要删除该内容？
Edit,编辑
Orders,订单
"New Customers",新客户
Customer,客户
"Grand Total",总计
"Lifetime Sales",终生销售
"All Store Views",所有店铺视图
"My Account",我的帐户
"Account Information",帐户信息
"First Name",名字
"Last Name",姓氏
Email,电子邮件
"New Password",新密码
"Delete File","Delete File"
Delete,删除
Save,保存
Store,商店
"-- Please Select --","-- Please Select --"
Yes,Yes
"Web Site","Web Site"
Name,姓名
Status,状态
"Save and Continue Edit",保存并继续编辑
"Store View",店铺视图
Type,类型
Submit,提交
"You deleted the customer.","You deleted the customer."
"IP Address",IP地址
Order,Order
"Customer View",客户视图
"Personal Information",个人信息
View,查看
"* Required Fields",*必要字段
Day,天
Month,月
Year,年
label,label
Global,全球
Change,Change
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Customer Group",客户组
"End Date","End Date"
"Customer Groups",客户组
Country,国家
State/Province,州/省
"Please select region, state or province",请选择地区、州，或省
City,城市
"Zip/Postal Code",邮政编码
"Email Address",编辑电子邮件地址
Company,公司
"VAT Number","VAT 编号"
Address,地址
"Street Address",街道地址
"Street Address %1","Street Address %1"
Telephone,电话
Fax,传真
Password,密码
"Confirm Password",确认密码
Login,登录
"Forgot Your Password?",忘记您的密码？
Register,Register
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Contact Information",联系信息
"Log Out",注销
"Log In",登录
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You are currently not subscribed to our newsletter.",您目前没有订阅我们的时事通讯。
"You have not set a default shipping address.",您尚未设置默认的运送地址。
"You have not set a default billing address.",您还没有设置默认的账单地址。
"Address Book",地址薄
"Edit Address",编辑地址
"Add New Address",添加新地址
region,region
"Add New Customer",添加新客户
"Save Customer",保存客户
"Delete Customer",删除客户
"Reset Password","Reset Password"
"New Customer",新顾客
"or ","or "
" Send auto-generated password"," Send auto-generated password"
"Please select",请选择
"Send Welcome Email",发送欢迎邮件
"Send From",发送自
"Send Welcome Email after Confirmation",在确认后发送欢迎邮件
"Delete Address",删除地址
"Edit Customer's Address",编辑客户的地址
"Shopping Cart from %1","Shopping Cart from %1"
"Newsletter Information",新闻邮件信息
"Subscribed to Newsletter","Subscribed to Newsletter"
"Last Date Subscribed",上次订阅的日期
"Last Date Unsubscribed",上次退订的日期
"No Newsletter Found",未找到新闻邮件
"Start date","Start date"
"Receive Date","Receive Date"
Subject,主题
Sent,已发送
"Not Sent",未发送
Sending,正在发送
Paused,已暂停
Unknown,未知
"Purchase Date","Purchase Date"
"Bill-to Name","Bill-to Name"
"Ship-to Name","Ship-to Name"
"Order Total",订单总数
"Purchase Point","Purchase Point"
Never,永不
Offline,离线
Confirmed,已确认
"Confirmation Required","Confirmation Required"
"Confirmation Not Required","Confirmation Not Required"
Indeterminate,Indeterminate
"The customer does not have default billing address.",客户未设置默认账单地址。
"Recent Orders",近期订单
"Shopping Cart - %1 item(s)","Shopping Cart - %1 item(s)"
"Shopping Cart of %1 - %2 item(s)","Shopping Cart of %1 - %2 item(s)"
"Wishlist - %1 item(s)","Wishlist - %1 item(s)"
"There are no items in customer's shopping cart at the moment",客户的购物车中目前没内容
"Shipped-to Name","Shipped-to Name"
"Deleted Stores",删除店铺
"There are no items in customer's wishlist at the moment",客户的愿望清单中目前没内容
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Days in Wish List"
"Customer Information",客户信息
Addresses,地址
Wishlist,愿望清单
Newsletter,新闻邮件
"Product Reviews",产品评测
Download,Download
"Delete Image","Delete Image"
"View Full Size","View Full Size"
"All countries",所有国家
"Add New Customer Group",添加新客户群组
"Save Customer Group",保存客户群组
"Delete Customer Group",删除客户组
"New Customer Group",新客户组
"Edit Customer Group ""%1""","Edit Customer Group ""%1"""
"Group Information",群组信息
"Group Name",群组名称
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Tax Class",税率
"Customers Only",仅限客户
"Visitors Only",仅限访客
Visitor,访客
