Code,Country,State,"Zip/Post Code",Rate,"Zip/Post is Range","Range From","Range To",default
US-AK-99547,US,AK,99547,3,,,,
US-AK-99554,US,AK,99554,4,,,,
US-AK-99555,US,AK,99555,5,,,,
US-AK-99556,US,AK,99556,3,,,,
US-AK-99557,US,AK,99557,2,,,,
US-AK-99559,US,AK,99559,6,,,,
US-AK-99561,US,AK,99561,2,,,,
US-AK-99563,US,AK,99563,3,,,,
US-AK-99568,US,AK,99568,3,,,,
US-AK-99569,US,AK,99569,5,,,,
US-AK-99572,US,AK,99572,3,,,,
US-AK-99574,US,AK,99574,6,,,,
US-AK-99576,US,AK,99576,6,,,,
US-AK-99578,US,AK,99578,2,,,,
US-AK-99581,US,AK,99581,3,,,,
US-AK-99583,US,AK,99583,3,,,,
US-AK-99585,US,AK,99585,4,,,,
US-AK-99591,US,AK,99591,3,,,,
US-AK-99603,US,AK,99603,7.5,,,,
US-AK-99604,US,AK,99604,4,,,,
US-AK-99605,US,AK,99605,3,,,,
US-AK-99609,US,AK,99609,3,,,,
US-AK-99610,US,AK,99610,3,,,,
US-AK-99611,US,AK,99611,6,,,,
US-AK-99612,US,AK,99612,4,,,,
US-AK-99615,US,AK,99615,7,,,,
US-AK-99619,US,AK,99619,7,,,,
US-AK-99620,US,AK,99620,3,,,,
US-AK-99621,US,AK,99621,5,,,,
US-AK-99624,US,AK,99624,3,,,,
US-AK-99628,US,AK,99628,2,,,,
US-AK-99629,US,AK,99629,2,,,,
US-AK-99630,US,AK,99630,4,,,,
US-AK-99631,US,AK,99631,3,,,,
US-AK-99632,US,AK,99632,3,,,,
US-AK-99634,US,AK,99634,4,,,,
US-AK-99635,US,AK,99635,6,,,,
US-AK-99637,US,AK,99637,6,,,,
US-AK-99639,US,AK,99639,3,,,,
US-AK-99640,US,AK,99640,3,,,,
US-AK-99641,US,AK,99641,4,,,,
US-AK-99643,US,AK,99643,3,,,,
US-AK-99644,US,AK,99644,3,,,,
US-AK-99650,US,AK,99650,4,,,,
US-AK-99652,US,AK,99652,3,,,,
US-AK-99655,US,AK,99655,3,,,,
US-AK-99658,US,AK,99658,3,,,,
US-AK-99659,US,AK,99659,4,,,,
US-AK-99660,US,AK,99660,3,,,,
US-AK-99661,US,AK,99661,3,,,,
US-AK-99662,US,AK,99662,4,,,,
US-AK-99663,US,AK,99663,5,,,,
US-AK-99664,US,AK,99664,3,,,,
US-AK-99666,US,AK,99666,3,,,,
US-AK-99669,US,AK,99669,3,,,,
US-AK-99671,US,AK,99671,3,,,,
US-AK-99672,US,AK,99672,3,,,,
US-AK-99677,US,AK,99677,6,,,,
US-AK-99678,US,AK,99678,2,,,,
US-AK-99679,US,AK,99679,6,,,,
US-AK-99680,US,AK,99680,6,,,,
US-AK-99682,US,AK,99682,3,,,,
US-AK-99684,US,AK,99684,5,,,,
US-AK-99685,US,AK,99685,3,,,,
US-AK-99687,US,AK,99687,2,,,,
US-AK-99689,US,AK,99689,5,,,,
US-AK-99690,US,AK,99690,6,,,,
US-AK-99692,US,AK,99692,3,,,,
US-AK-99694,US,AK,99694,3,,,,
US-AK-99697,US,AK,99697,7,,,,
US-AK-99704,US,AK,99704,6,,,,
US-AK-99711,US,AK,99711,4,,,,
US-AK-99727,US,AK,99727,6,,,,
US-AK-99736,US,AK,99736,3,,,,
US-AK-99739,US,AK,99739,3,,,,
US-AK-99740,US,AK,99740,3,,,,
US-AK-99741,US,AK,99741,3,,,,
US-AK-99742,US,AK,99742,3,,,,
US-AK-99744,US,AK,99744,4,,,,
US-AK-99749,US,AK,99749,3,,,,
US-AK-99750,US,AK,99750,2,,,,
US-AK-99752,US,AK,99752,6,,,,
US-AK-99753,US,AK,99753,2,,,,
US-AK-99760,US,AK,99760,4,,,,
US-AK-99761,US,AK,99761,3,,,,
US-AK-99762,US,AK,99762,5,,,,
US-AK-99763,US,AK,99763,4,,,,
US-AK-99766,US,AK,99766,3,,,,
US-AK-99770,US,AK,99770,5,,,,
US-AK-99772,US,AK,99772,2,,,,
US-AK-99773,US,AK,99773,2,,,,
US-AK-99777,US,AK,99777,2,,,,
US-AK-99778,US,AK,99778,3,,,,
US-AK-99783,US,AK,99783,3,,,,
US-AK-99784,US,AK,99784,1,,,,
US-AK-99785,US,AK,99785,3,,,,
