"ALL","TUDO"
"ANY","QUALQUER UM"
"Add","Adicionar"
"Apply","Solicitar"
"Conditions Combination","Combinação de condições"
"Description: %s","Descrição: %s"
"End Date should be greater than Start Date","A Data Final deve ser maior que a Data Inicial"
"Expire at: %s","Vence em: %s"
"FALSE","FALSO"
"If %s of these conditions are %s:","Se %s dessas condições são %s:"
"Invalid discount amount.","Quantidade de desconto inválida."
"MATCHING ALL","CORRESPONDER TUDO"
"MATCHING ANY","CORRESPONDER QUALQUER UM"
"NOT MATCHING ALL","NÃO CORRESPONDER TUDO"
"NOT MATCHING ANY","NÃO CORRESPONDER QUALQUER UM"
"Name: %s","Nome: %s"
"Open Chooser","Abrir Seletor"
"Perform following actions","Executar seguintes ações"
"Please choose a condition to add...","Por favor escolha uma condição para adicionar..."
"Please choose an action to add...","Por favor, selecione uma ação para adicionar..."
"Remove","Remover"
"Start at: %s","Iniciar em: %s"
"TRUE","VERDADEIRO"
"by","por"
"contains","contém"
"does not contain","não contém"
"does not contains","não contêm"
"equals or greater than","é igual ou maior que"
"equals or less than","é igual ou menor que"
"for","para"
"for greater than","para mais de"
"for or greater than","para ou superior a"
"found","encontrado"
"from","de"
"greater than","superior a"
"is","é"
"is not","não é"
"is not one of","não é um de"
"is one of","é um de"
"less than","menos que"
"not found","não encontrado"
"not from","não de"
"to","para"
"was","era"
"was not","não era"
