" or ","ou"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' parece ser um nome de alojamento DNS mas não pode extrair parte TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' parece ser um nome de alojamento DNS mas não consegue encontrar TLD contra a lista conhecida"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' parece ser um nome de alojamento DNS mas não pode ser comparado contra o esquema nome de alojamento para TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' parece ser um nome de alojamento DNS mas contém um traço em uma posição inválida"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' parece ser um DNS de alojamento mas a notação punycode dada não pode ser descodificada"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' parece ser um nome de rede local mas nomes de rede local não são permitidos"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' parece ser um endereço IP, mas endereços IP não são permitidos"
"'%value%' does not appear to be a valid local network name","'%value%' não parece ser um nome de rede local válido"
"* Required Fields","* Campos obrigatórios"
"A new password has been sent.","Uma nova senha foi enviada."
"ALL GROUPS","TODOS OS GRUPOS"
"Account Dashboard","Painel de Conta"
"Account Information","Informações da Conta"
"Account Sharing Options","Opções de Compartilhamento de Conta"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Confirmação da conta é necessária. Por favor, verifique seu email para o link de confirmação. Para reenviar email de confirmação, por favor <a href=""%s"">clique aqui</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Confirmação da conta é necessária. Por favor, verifique seu email para o link de confirmação. Para reenviar o email de confirmação, por favor <a href=""%s"">clique aqui</a>."
"Action","Ação"
"Add New Address","Adicionar Novo Endereço"
"Add New Customer","Adicionar Novo Cliente"
"Add New Customer Group","Adicionar Novo Grupo de Clientes"
"Added From","Adicionado De"
"Additional Address Entries","Entradas Adicionais de Endereço"
"Address","Endereço"
"Address Book","Livro de Endereços"
"Address Books","Livros de Endereço"
"Address Information","Informações de Endereço"
"Address Templates","Modelos de Endereço"
"Addresses","Endereços"
"Admin","Admin"
"All","Todos"
"All Store Views","Todas as Visualizações da Loja"
"All countries","Todos os países"
"Always optional.","Sempre opcional."
"Amount","Valor"
"An error occurred while deleting the address.","Ocorreu um erro enquanto apagando este endereço."
"An error occurred while retrieving the option value: %s.","Ocorreu um erro ao recuperar o valor da opção: %s."
"An error occurred while saving the collection, aborting. Error: %s","Ocorreu um erro ao salvar a coleção, abortando. Erro: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Um ID de opção inválido é especificado para %s (%s), ignorando o registro."
"Approved","Aprovado"
"Are you sure that you want to remove this item?","Tem certeza de que deseja remover este item?"
"Are you sure you want to cancel adding of this address?","Você tem certeza que quer cancelar a adição deste endereço?"
"Are you sure you want to delete this address?","Tem certeza de que deseja excluir este endereço?"
"Are you sure?","Tem certeza?"
"Array of Entity collections is expected.","Variedade de coleções de Entidades é esperado."
"Assign a Customer Group","Atribuir um Grupo de Clientes"
"Average Sale","Venda Média"
"Back","Voltar"
"Back - link to the previously viewed page","Voltar - link para a página anteriormente visualizada"
"Back to Login","Voltar à Entrada"
"Bad request.","Mau pedido."
"Bill to Name","Faturar para Nome"
"Bought From","Comprado De"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, você será capaz de se mover através do processo de compra mais rapidamente, armazenar múltiplos endereços de envio, ver e rastrear seus pedidos em sua conta e muito mais."
"CSV","CSV"
"Cancel","Cancelar"
"Cannot save address.","Não é possível salvar endereços."
"Cannot save the customer.","Não é possível salvar o cliente."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Não é possível compartilhar contas de clientes globalmente porque alguns clientes existem em vários sites com mesmas contas de email e não podem ser misturados."
"Change Account Password","Alterar a Senha da Conta"
"Change Billing Address","Alterar o endereço de faturamento"
"Change Password","Alterar senha"
"Change Shipping Address","Alterar endereço de remessa"
"City","Cidade"
"Company","Companhia"
"Config","Config"
"Configure","Configurar"
"Confirm New Password","Confirmar a nova senha"
"Confirm Password","Confirmar a senha"
"Confirmation Link Email","Email de Link de Confirmação"
"Confirmed","Confirmado"
"Contact Information","Informações de contato"
"Continue Shopping","Continuar Comprando"
"Country","País"
"Create","Criar"
"Create New Account Options","Criar Novas Opções de Conta"
"Create New Customer Account","Criar Nova Conta de Cliente"
"Create Order","Criar Pedido"
"Create an Account","Criar uma conta"
"Create customer","Criar cliente"
"Create customer address","Criar endereço de cliente"
"Current Password","Senha atual"
"Customer","Cliente"
"Customer API","API de cliente"
"Customer Account Edit Form","Editar formulário da conta do cliente"
"Customer Account Login Form","Formulário de login da conta do cliente"
"Customer Account Logout Success","Saída com sucesso da conta do cliente"
"Customer Account Registration Form","Formulário de registro da conta do cliente"
"Customer Addresses","Endereços do cliente"
"Customer Configuration","Configuração do cliente"
"Customer Forgot Password Form","Formulário Esqueceu a senha do cliente"
"Customer Group","Grupo de Clientes"
"Customer Groups","Grupos do cliente"
"Customer Information","Dados do Cliente"
"Customer Login","Login do cliente"
"Customer My Account (All Pages)","Minha conta do cliente (Todas as páginas)"
"Customer My Account Address Book","Livro de endereço da Minha conta do cliente"
"Customer My Account Address Edit Form","Formulário de editar endereço da Minha conta do cliente"
"Customer My Account Dashboard","Painel da Minha conta do cliente"
"Customer Since","Cliente desde"
"Customer View","Visualização do cliente"
"Customer collection expected.","É esperada a coleta do cliente."
"Customer email is required","É necessário o e-mail do cliente"
"Customer website ID must be specified when using the website scope","O ID do site do cliente deve ser especificado ao utilizar o escopo do site"
"Customer will stay on the current page if ""No"" is selected.","O cliente irá permanecer na página atual se ""Não"" for selecionado."
"Customers","Clientes"
"Customers Only","Apenas Clientes"
"Customers Section","Seção de Clientes"
"DD","DD"
"Date","Data"
"Date Added","Data de Adição"
"Date of Birth","Data de aniversário"
"Day","Dia"
"Days in Wishlist","Dias na Lista de Desejos"
"Default Addresses","Endereço padrão"
"Default Billing Address","Endereço padrão de faturamento"
"Default Email Domain","Domínio de E-Mail Padrão"
"Default Group","Grupo Padrão"
"Default Shipping Address","Endereço padrão de entrega"
"Default Welcome Email","E-Mail de Boas-Vindas Padrão"
"Delete","Excluir"
"Delete Address","Apagar endereço"
"Delete Customer","Excluir Cliente"
"Delete Customer Group","Excluir Grupo de Clientes"
"Delete customer","Excluir cliente"
"Delete customer address","Excluir endereço do cliente"
"Deleted Stores","Excluir Lojas"
"Details","Detalhes"
"Disabled","Desativado"
"Edit","Editar"
"Edit Account Info","Editar Informações da Conta"
"Edit Account Information","Editar informações da conta"
"Edit Address","Editar endereço"
"Edit Address Entry","Editar entrada de endereço"
"Edit Customer Group ""%s""","Editar grupo de cliente ""%s"""
"Edit Customer Groups","Editar grupos de cliente"
"Edit Customer's Address","Editar o endereço do cliente"
"Edit Group","Editar grupo"
"Edit Newsletters","Editar boletins informativos"
"Email","E-mail"
"Email Address","Endereço de e-mail"
"Email Sender","Remetente do e-mail:"
"Email:","E-mail:"
"Entity collection is expected.","É esperada a coleta da entidade."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Erro ao tentar confirmar a conta do cliente."
"Fax","Fax"
"First Name","Primeiro nome"
"Forgot Email Sender","Esqueceu o remetente do e-mail"
"Forgot Email Template","Esqueceu o modelo do e-mail"
"Forgot Your Password","Esqueceu a senha"
"Forgot Your Password?","Esqueceu a senha?"
"Form Fields Before","Campos do formulário antes"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","No Painel da Minha Conta é possível visualizar um resumo das atividades recentes da sua conta e atualizar as informações da conta. Selecione o link abaixo para visualizar ou editar as informações."
"Gender","Sexo"
"Group","Grupo"
"Guest","Convidado"
"IP Address","Endereço de IP"
"Invalid customer data","Dados do cliente inválidos"
"Invalid email address.","Endereço de e-mail inválido."
"Last Date Subscribed","Última Data de Assinatura"
"Last Date Unsubscribed","Última Data de Cancelamento"
"Lifetime Sales","Vendas de Vida Inteira"
"Log In","Entrar"
"Login","Conectar-se"
"Login Options","Opções de Acesso"
"Login or Create an Account","Conectar-se ou criar conta"
"MM","MM"
"Missing firstname, skipping the record.","Faltando nome próprio, ignorando o registro."
"Missing lastname, skipping the record.","Faltando apelido, ignorando o registro."
"My Account Wrapper","Envoltório da Minha Conta"
"My Dashboard","Meu Painel"
"Name and Address Options","Opções de Nome e Endereço"
"Never","Nunca"
"New Address Entry","Nova entrada de endereço"
"New Customer Address","Endereço do Novo Cliente"
"New Customer Groups","Grupos do Novo Cliente"
"New Group","Novo Grupo"
"New Password","Nova senha"
"New account confirmation key","Chave de confirmação da nova conta"
"New account confirmed","Nova conta confirmada"
"Newsletter","Newsletter"
"Newsletter Finish","Final de boletim informativo"
"Newsletter Received","Boletim informativo recebido"
"Newsletter Subscription","Assinatura do boletim informativo"
"No Newsletter Found","Nenhum boletim informativo foi encontrado"
"No item specified.","Nenhum item especificado."
"Not confirmed, can login","Não confirmado, pode fazer o login"
"Number of Lines in a Street Address ","Número de linhas em um endereço de rua"
"Offline","Offline"
"Online","Online"
"Online Customers","Clientes Conectados"
"Online Minutes Interval","Invervalo de minutos online"
"Order #","Ordem #"
"Order Total","Total do Pedido"
"Orders","Ordens"
"PDF","PDF"
"Password Options","Opções de Senha"
"Paused","Parado."
"Pending","Pendente"
"Per Website","Por Site Web"
"Personal Information","Informações pessoais"
"Please enter your email below and we will send you a new password.","Por favor insira seu email abaixo e nós lhe enviaremos uma nova senha."
"Please enter your email.","Por favor insira seu email."
"Please select","Favor selecionar"
"Please, check your email for confirmation key.","Por favor, verifique seu email para a chave de confirmação."
"Price","Preço"
"Product ID","ID do Produto"
"Product Reviews","Comentários sobre Produto"
"Product Tags","Etiquetas de Produto"
"Purchase On","Compra Em"
"Purchased At","Comprados Na"
"Recent Orders","Pedidos Recentes"
"Redirect Customer to Account Dashboard after Logging in","Redirecione Cliente para o Painel de Conta após a Acessar"
"Refunded","Reembolsado"
"Registered Customers","Clientes cadastrados"
"Remove","Remover"
"Retrieve address data","Recupere dados de endereço"
"Retrieve address info","Recupere informação de endereço"
"Retrieve customer data","Recupere dados do cliente"
"Retrieve your confirmation link here","Recupere aqui o seu link de confirmação"
"SKU","Unidade de Manutenção de Estoque"
"Sales Statistics","Estatísticas de vendas"
"Save Customer Group","Salvar grupo de cliente"
"Save Password","Salvar senha"
"Save and Continue Edit","Salvar e continuar a editar"
"Saved %d record(s)","%d registro(s) salvo(s)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valores separados por ponto e vírgula (;).<br/>Coloque ponto e vírgula no início para definir como vazia a primeira opção.<br/>Deixe em brando para abrir campo de texto."
"Send From","Enviar De"
"Send Welcome Email","Enviar e-mail de boas-vindas"
"Send confirmation link","Enviar link de confirmação"
"Sent","Enviado"
"Set as Default Billing Address","Definir como endereço padrão de faturamento"
"Shipped to Last Name","Enviado para o último nome"
"Shopping Cart","Carrinho de compras"
"Show Date of Birth","Exibir a data de aniversário"
"Show Gender","Exibir o gênero"
"Show Prefix","Exibir o prefixo"
"Show Suffix","Exibir o sufixo"
"Sign Up for Newsletter","Assinar o boletim informativo"
"Skipping import row, website ""%s"" field does not exist.","Pular a fileira de importação, o campo ""%s"" do site não existe."
"Store View","Visualização da loja"
"Street Address","Endereço da rua"
"Subject","Assunto"
"Submit","Enviar"
"Subscribed to Newsletter?","Já assinou o boletim informativo?"
"Suffix Dropdown Options","Opções de Sufixo Pendente"
"Tax Class","Classe de Impostos"
"Telephone","Telefone"
"Text One Line","Texto Uma Linha"
"The account information has been saved.","As informações da conta foram salvas."
"The address has been deleted.","O endereço foi apagado."
"The customer group has been deleted.","O grupo de clientes foi apagado."
"The group ""%s"" cannot be deleted","O grupo ""%s"" não pode ser apagado"
"The suffix that goes after name (Jr., Sr., etc.)","O sufixo que vai atrás do nome (Jr., Sr., etc.)"
"There are no items in customer's wishlist at the moment","No momento não há itens na lista de desejos do cliente"
"There are no items in customer\'s shopping cart at the moment","Não há itens no carrinho de compras do cliente no momento"
"This account is not confirmed.","Essa conta não está confirmada."
"This customer has no saved addresses.","Este cliente não tem endereços guardados."
"This email will be sent instead of default welcome email, after account confirmation.","Este e-mail será enviado ao invés do e-mail predefinido de boas vindas, após a confirmação da conta."
"To Cart","Para Carrinho"
"Type","Tipo"
"Unknown","Desconhecido"
"Unsubscribe from Newsletter","Cancelar a assinatura do boletim informativo"
"Update customer data","Atualizar dados do cliente"
"Use as My Default Billing Address","Utilizar como endereço padrão de faturamento"
"Use as my default billing address","Use como meu endereço de cobrança padrão"
"View","Ver"
"Visitors Only","Apenas visitantes"
"Wishlist","Lista de presentes"
"Wrong customer account specified.","Conta especificada de cliente errada."
"Wrong email.","E-mail errado."
"Year","Ano"
"You are currently subscribed to our newsletter.","Você está atualmente inscrito em nosso boletim informativo."
"You are now logged out","Agora você está desconectado"
"You have no additional address entries in your address book.","Você não tem nenhuma entrada de endereço adicional no seu livro de endereços."
"You have no default billing address in your address book.","Você não tem endereço de cobrança padrão no seu livro de endereços."
"You have no default shipping address in your address book.","Você não tem endereço de entrega padrão no seu livro de endereços."
"You have not set a default shipping address.","Você não definiu um endereço de envio."
"You have placed no products yet.","Você ainda não colocou nenhum produto."
"ZIP","CEP"
"ZIP/Post Code","Código Postal"
"n/a","n/d"
"General Subscription","Assinatura geral"
"Generate Human-Friendly Customer ID","Gerar ID de Cliente Humano-Amigável"
"Global","Global"
