"Action","Ação"
"An error occurred while writing to the backup file ""%s"".","Ocorreu um erro durante a gravação do arquivo de cópia de segurança ""%s""."
"Backup file ""%s"" cannot be read from or written to.","Cópia de segurança do arquivo ""%s"" não pode ser lido ou gravado."
"Backup file ""%s"" does not exist.","Cópia de segurança do arquivo ""%s"" não existe."
"Backup file does not exist.","Cópia de segurança do arquivo não existe."
"Backup file handler was unspecified.","Processador de arquivo de cópia de segurança não foi especificado."
"Backup file path was not specified.","Caminho do arquivo de cópia de segurança não foi especificado."
"Backups","Cópias de segurança"
"Cannot read backup file.","Não é possível ler arquivo de cópia de segurança."
"Create Backup","Criar Cópia de Segurança"
"DB","BD"
"Database was successfuly backed up.","Foi feita com sucesso a cópia de segurança da base de dados."
"Download","Baixar"
"Size, Bytes","Tamanho, Bytes"
"The file was compressed with Zlib, but this extension is not installed on server.","O arquivo foi compactado com Zlib, mas essa extensão não está instalada no servidor."
"Time","Tempo"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Não é possível criar cópia de segurança. Por favor, tente novamente mais tarde."
"Wrong order of creation for new backup.","Ordem errada de criação de nova cópia de segurança."
