"-OR-","-OU-"
"2-pixel perimeter around the header space.","Perímetro de 2 pixeis em torno do espaço do cabeçalho."
"3D Secure","3D Secure"
"3D Secure Card Validation","Validação de Cartão 3D Secure"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Validação Segura 3D é necessária para cartões Maestro. Suporte de cartões American Express exige um acordo adicional. Saiba mais em <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Comece a aceitar pagamentos via PayPal!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Um valor é necessário para o modo ao vivo. Consulte o seu contrato CardinalCommerce."
"ACH Deposit (Hold for Dispute or Other Investigation)","Depósito ACH (Apoio para Disputa ou Outra Investigação)"
"ACH Deposit (Reversal)","Depósito ACH (Reverso)"
"ACH Funding for Funds Recovery from Account Balance","Financiamento ACH para Recuperação de Fundos de Saldo da Conta"
"ACH Withdrawal","Levantamento ACH"
"API Authentication Methods","Métodos de Autenticação API"
"API Certificate","Certificado API"
"API Password","Senha API"
"API Signature","Assinatura API"
"API Username","Nome de usuário API"
"API Uses Proxy","API Usa Proxy"
"API/Integration","API/Integração"
"API/Integration Settings","API/Configurações de Integração"
"Ability for buyer to purchase without PayPal account.","Capacidade para o comprador comprar sem conta PayPal."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Aceitar pagamentos PayPal no seu carrinho de compras. PayPal vai processar seus pagamentos de cartão de crédito através do portal Payflow Pro."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.  Includes a merchant account from PayPal.","Aceite pagamentos com um checkout que respeita as políticas do PCI que mantém o cliente no seu site. Inclua uma conta que aceita cartões de crédito do PayPal."
"Accept payments with a PCI-compliant checkout that keeps customers on your site. For use with your own merchant account.","Aceite pagamentos com um checkout que respeita as políticas do PCI que mantém os clientes no seu site. Para uso com a sua própria conta que aceita cartões de crédito."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Aceitar pagamentos sem que os clientes deixem seu site. Muitos serviços populares de alojamento web e carrinhos de compras vêm com os portais de pagamento Payflow embutidos, para que sejam fáceis de configurar."
"Acceptance Mark","Marca de Aceitação"
"Acceptance Mark Image","Imagem de Marca de Aceitação"
"Account-to-Account Payment, initiated by PayPal","Pagamento Conta para Conta, iniciado por PayPal"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Adicione um botão Checkout expresso ao seu carrinho de compras existente para pagamentos rápidos e fáceis com cartão de crédito. PayPal lida com todo o processamento de pagamento."
"Additional Options","Opções Adicionais"
"Address","Endereço"
"Address Verification System Response","Resposta de Sistema de Verificação de Endereço"
"All the address information matched","Todas as informações do endereço correspondem"
"Allow in Billing Agreement Wizard","Permitir no Assistente de Acordo de Faturamento"
