"Active","Ativo"
"Add Attribute Mapping","Adicionar Mapeamento de Atributo"
"Add New Attribute","Adicionar Novo Atributo"
"Add to Google Base","Adicionar à Base do Google"
"Are you sure?","Tem certeza?"
"Attribute","Atributo"
"Attribute Set","Conjunto de Atributos"
"Attribute Set and Item Type","Configuração de Atributo e Tipo de Item"
"Attributes","Atributos"
"Attributes Mapping","Mapeamento de Atributos"
"Attributes Set","Configuração de Atributos"
"AuthSub","AuthSub"
"Available Products","Produtos disponíveis"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Moeda de referência deve ser alterada de %s para %s na configuração do sistema. De outra forma, os preços dos itens são estarão corretos na Base do Google."
"Cannot update Google Base Item for Store '%s'","Não foi possível atualizar Item Google Base para Loja '%s'"
"Captcha confirmation error: %s","Confirmação de erro Captcha: %s"
"Captcha has been confirmed.","Captcha foi confirmado."
"Catalog","Catálogo"
"Clicks","Cliques"
"ClientLogin","ClientLogin"
"Confirm","Confirmar"
"Current Mapping will be reloaded. Continue?","Mapeamento atual será recarregado. Continuar?"
"Custom attribute, no mapping","Atributo do cliente, sem mapeamento"
"Delete","Excluir"
"Delete Mapping","Deletar Mapeamento"
"Edit Item Type","Editar Tipo de Item"
"Edit Item Type ""%s""","Editar Tipo de Item  ""%s"""
"Error: %s","Erro: %s"
"Expires","Expira"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Atributo da Base do Google"
"Google Base ID","ID da Base do Google"
"Google Base Item Type","Tipo de Item da Base do Google"
"Google Base Item type","Tipo de Item da Base do Google"
"Google Base Items","Itens da Base Google"
"Google base","Base do Google"
"Hide","Ocultar"
"Hosted","Hospedado"
"Hosted or Google","Hospedado ou Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Modelo Inválido de Produto para Item da Base do Google"
"Item Type was deleted","Tipo de Item foi deletado"
"Item Types","Tipos de Item"
"Item model is not specified to delete Google Base entry.","Modelo de item não foi especificado para deletar entrada na Base do Google."
"Items","Itens"
"Manage Attribute Mapping","Gerenciar Mapeamento de Atributo"
"Manage Attributes","Gerenciar Atributos"
"Manage Items","Gerenciar itens"
"New Item Type","Novo Tipo de Item"
"New ItemType","Novo Tipo de Item"
"No","Não"
"No items were deleted from Google Base","Nenhum item foi apagado do Google Base"
"No items were published","Nenhum item foi publicado"
"No items were saved as inactive items","Nenhum item foi salvo como item inativo"
"No products were added to Google Base","Nenhum produto foi adicionado ao Google Base"
"Object model is not specified to save Google Base entry.","Modelo de objeto não é especificado para salvar entrada no Google Base."
"Please, select Attribute Set and Google Item Type to load attributes","Por favor, selecione Conjunto de Atributos e Tipo de Item Google para carregar os atributos"
"Product Name","Nome do produto"
"Publish","Publicar"
"Published","Publicado"
"Remove","Remover"
"Save Mapping","Salvar Mapeamento"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Sessão expirada durante a exportação. Por favor revise os produtos exportados e repita o processo se necessário."
"Synchronize","Sincronizar"
"Target Country","País Alvo"
"The item type has been saved.","O tipo de item foi salvo."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta ação irá atualizar as estatísticas dos itens e remover os itens que não estão disponíveis no Google Base. Continuar?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Um total de %d itens foi excluído; um total de %d itens foi atualizado."
"Total of %d items(s) have been published.","Um total de %d itens foi publicado."
"Total of %d items(s) have been removed from Google Base.","Um total de %d itens foi removido do Google Base."
"Total of %d items(s) have been saved as inactive items.","Um total de %d itens foi salvo como itens inativos."
"Total of %d product(s) have been added to Google Base.","Um total de %d produto(s) foi adicionado ao Google Base."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Não é possível conetar com o Google Base. Por favor, verifique as configurações da Conta na configuração."
"Unable to select a Store View.","Não foi possível selecionar uma Vista de Loja."
"View Available Products","Ver Produtos Disponíveis"
"View Item in Google Base","Ver Artigo em Base Google"
"Yes","Sim"
