" and ","e"
" note that the URLs provided below are the correct values for your current website): ","note que as URLs fornecidas abaixo são os valores corretos para o seu site atual):"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Para Tipo ""Servidor Local"" necessário utilizar caminho relativo para instalar Magento var/export ou var/import, por exemplo var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Para EUA nomes de 2 letras de estados)"
"(If left empty will be auto-generated)","(Se deixado vazio será gerado automaticamente)"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Inclui mais países do que os listados abaixo. Como o proprietário do aplicativo, você é responsável pelo cumprimento de leis específicas para cada país relacionadas com a distribuição ou venda de seu aplicativo para o país, incluindo o seu país de origem.)"
"(Leave empty for first spreadsheet)","(Deixe em branco para primeira folha de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Os produtos serão adicionados/atualizados a esta loja, se a coluna 'loja' estiver em branco ou ausente no arquivo de importação.)"
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para mudar o valor"
"(Starting with)","(Começando com)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'Não', apenas campos mapeados serão importados. Quando mapeando, use 'coluna1', 'coluna2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Você tem que aumentar o memory_limit php antes de alterar este valor)"
"(\\t for tab)","(\\t para tabulação)"
"- Click on any of the time parts to increase it","- Clique em qualquer uma das partes da hora para a aumentar"
"- Hold mouse button on any of the above buttons for faster selection.","- Segure o botão do rato sobre qualquer um dos botões acima para selecionar rapidamente."
"- Use the %s buttons to select month","- Use os botões %s para selecionar o mês"
"- Use the %s, %s buttons to select year","- Use os botões %s, %s para selecionar o ano"
"- or Shift-click to decrease it","- Ou clique-Shift para diminuir"
"- or click and drag for faster selection.","- ou clique e arraste para uma seleção mais rápida."
"-- Please Select Billing Agreement--","-- Por Favor, Escolha o Acordo de Cobrança--"
"10:40 AM","10:40"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"ASCII","ASCII"
"About the calendar","Sobre o calendário"
"Access denied.","Acesso negado."
"Account Created in:","Conta criada em:"
"Account Created on (%s):","Conta criada em (%s):"
"Account Created on:","Conta criada em:"
"Action","Ação"
"Actions","Ações"
"Activate","Ativar"
"Add Contents Path","Adicionar sequência de conteúdos"
"Add Field with URL:","Adicionar campo com o URL:"
"Add New Role","Adicionar nova função"
"Add New User","Adicionar Novo Usuário"
"Add PHP Extension dependency","Adicionar dependência de Extensão PHP"
"Add Package dependency","Adicionar dependência de Pacote"
"Add to Cart","Adicionar ao carrinho"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Address Type:","Tipo de Endereço:"
"AirMail Template Preview","Pré-visualização do Modelo do AirMail"
"All","Todos"
"All Websites","Todos os sites"
"All fields","Todos os campos"
"All locations","Todos os locais"
"Archive file name:","Nome do ficheiro de arquivo:"
"Are you sure that you want to delete this template?","Tem certeza de que deseja apagar este modelo?"
"Are you sure that you want to strip tags?","Tem certeza que você quer retirar tags?"
"As low as:","A partir de:"
"Attribute Set Name:","Atribuir Nome de Conjunto:"
"Attributes","Atributos"
"Authors","Autores"
"Available Products","Produtos disponíveis"
"BINARY","BINÁRIO"
"Back","Voltar"
"Big Image","Imagem grande"
"Billing Address","Endereço de faturamento"
"Billing Agreement","Contrato de faturamento"
"Bundle Items","Empacotar itens"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","O pacote com preço dinâmico não pode incluir opções personalizadas definidas. As opções não serão salvas."
"CSV / Tab separated","CSV / Tab separados"
"Cancel URL: ","Cancelar URL:"
"Card Verification Number","Número de Verificação do Cartão"
"Carrier","Portador"
"Catalog","Catálogo"
"Chairs","Cadeiras"
"Change Orientation","Alterar Orientação"
"Changes have been saved to theme.","As alterações no tema foram salvas."
"Channel","Canal"
"Child Transactions","Transações Inferiores"
"Choose Store View","Escolha Ver Loja"
"Choose a selection...","Escolha uma seleção..."
"Clear","Limpar"
"Client Session Timeout (sec.)","Tempo Limite da Sessão de Cliente (seg.)"
"Close","Fechar"
"Confirmed email:","E-mail confirmado:"
"Connect with the Magento Community","Conecte-se com a Comunidade Magento"
"Contents","Conteúdos"
"Continue","Continue"
"Country:","País:"
"Created At","Criada Em"
"Credit Card %s","Cartão de Crédito %s"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit Card Type: %s","Tipo de Cartão de Crédito: %s"
"Credit Memo History","Histórico de Notas de Crédito"
"Credit Memo Totals","Totais da Nota de Crédito"
"Current Configuration Scope:","Escopo da Configuração Atual:"
"Custom","Personalizado"
"Custom Colors","Cores Personalizadas"
"Customer","Cliente"
"Customer Group:","Grupo do Cliente:"
"Customer Since:","Cliente desde:"
"Customers","Clientes"
"DHTML Date/Time Selector","Seletor de Data/Hora DHTML"
"Dashboard","Painel"
"Data Format","Formato dos Dados"
"Data transfer:","Transferência de Dados:"
"Date selection:","Seleção de data:"
"Date selector","Seletor de data"
"Decimal separator:","Separador decimal:"
"Default (Admin) Values","Valores (de Admin) Padrão"
"Default Billing Address","Endereço padrão de faturamento"
"Default Response Charset","Conjunto de Caracteres Predefinido de Resposta"
"Default Values","Valores padrão"
"Delete","Excluir"
"Deselect All","Desmarcar Todos"
"Direction:","Direção:"
"Display %s first","Mostrar primeiro %s"
"Distributed under GNU LGPL. See %s for details.","Distribuído sob a GNU LGPL. Veja %s para detalhes."
"Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode.","Não ativar opções AVS ou CSC. Não funcionam quando usando o Modo de Ligação Silencioso Payflow."
"Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout.","Não definir quaisquer campos no bloco de Faturação e Envio como editável na sua conta Payflow."
"Drag to move","Arraste para mover"
"Edit Filter","Editar filtro"
"Edit Role","Editar funçõa"
"Edit User '%s'","Editar usuário ""%s"""
"Email","E-mail"
"Email Preview","Visualização por e-mail"
"Email:","E-mail:"
"Enable Secure Token:","Ativar símbolo de segurança:"
"Enclose Values In:","Anexar valores:"
"Entity Attributes","Atributos da entidade"
"Entity type:","Tipo de entidade:"
"Excl. Tax","Excluir taxas"
"Expiration Date","Data de Validade"
"Expiration Date: %s/%s","Data de expiração: %s/%s"
"Export","Exportar"
"Export Filters","Exportar filtros"
"Export to:","Exportar para:"
"Export:","Exportar:"
"Extension","Extensão"
"Extensions","Extensões"
"FILTERS APPLIED","FILTROS APLICADOS"
"FTP Host[:Port]","FTP Anfitrião[:Porta] (FTP Host[:Port])"
"Field Mapping","Mapeamento de campo"
"File Information","Informação do Arquivo"
"File mode","Modo de Arquivo"
"File name:","Nome do arquivo:"
"Files","Arquivos"
"Finished profile execution.","Execução de perfil terminada."
"First Name:","Primeiro nome:"
"For latest version visit: %s","Para última versão, visitar: %s"
"From","De"
"General Information","Informações gerais"
"General Settings","Definições Gerais"
"Get help for this page","Receber ajuda para esta página"
"Global Record Search","Busca Global de Registros"
"Go Today","Ir Hoje"
"Go to messages inbox","Ir para caixa de entrada"
"Go to notifications","Ir para notificações"
"Google Base Items","Itens da Base Google"
"Group:","Grupo:"
"Help Us Keep Magento Healthy - Report All Bugs","Ajude-nos a manter a Magento em forma - Informe qualquer defeito"
"Home","Início"
