"%s is not a supported currency.","A moeda %s não é suportada."
"Accept","Aceitar"
"Basic","Básico"
"Cannot retrieve rate from %s to %s.","Não é possível recuperar a taxa entre %s e %s."
"Cannot retrieve rate from Strikeiron.","Não é possível recuperar a taxa de Strikeiron."
"Check All Email Servers","Verificar Todos Servidores de E-Mail"
"Complete","Completar"
"Country/Region/Postal Code Combination","Combinação País/Região/Código Postal"
"Customer Tax Class","Classe Fiscal do Cliente"
"Email Verification","Verificação de E-Mail"
"Enable Email Verification","Habilitar Verificação de E-Mail"
"Enable Foreign Exchange Rate","Habilitar Taxa de Câmbio Estrangeira"
"Enable Global Address Verification","Habilitar Verificação de Endereço Global"
"Enable Sales and Use Tax","Habilitar Vendas e Usar Imposto"
"Enable US Address Verification","Habilitar Verificação de Endereço nos E.U.A."
"Error Address Action","Ação para Endereço Inválido"
"Error Email Recipient","Erro de Destinatário de Email"
"Error Email Sender","Erro de Remetente de Email"
"Error Email Template","Erro de Template de Email"
"Foreign Exchange Rates","Taxas de Câmbio Estrangeiras"
"Global Address Verification","Verificação de Endereço Global"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Se o tipo for completo e o código postal pertencer a múltiplas taxas de imposto, optar pela cobrança da taxa mínima de imposto ou da taxa máxima de imposto."
"Invalid email address.","Endereço de e-mail inválido."
"Maximum Tax Rate","Taxa Máxima de Imposto"
"Minimum Tax Rate","Taxa Mínima de Imposto"
"Password","Senha"
"Pop up warning and accept","Pop up de aviso e aceitar"
"Product Tax Class","Classe de Imposto sobre Produtos"
"Reject","Rejeitar"
"Sales and Use Tax","Imposto sobre Vendas e Uso"
"Sales and Use Tax Type","Tipo de Imposto sobre Vendas e Uso"
"Strikeiron","Strikeiron"
"Strikeiron Config","Configuração Strikeiron"
"Strikeiron Section","Seção Strikeiron"
"Strikeiron foreign exchange rate is disabled.","Taxa de câmbio estrangeira Strikeiron está desativada."
"Tax","Taxas"
"The email address cannot be verified. Please check again and make sure your email address is entered correctly.","O endereço de email não pode ser verificado. Por favor verifique novamente e certifique-se que o seu endereço de email foi inserido corretamente."
"There are no more hits remaining for the foreign Exchange Rate Service.","Não há mais acessos restantes para o Serviço de Taxa de Câmbio."
"There is an error in retrieving the tax rate. Please contact us.","Há um erro na recuperação da taxa de imposto. Entre em contato conosco."
"There is an error in verifying an email. Please contact us.","Há um erro na verificação de um email. Entre em contato conosco."
"There is no response back from Strikeiron server.","Não há resposta de volta do servidor Strikeiron."
"US Address Verification","Verificação do Endereço dos EUA"
"Undetermined Email Action","Ação Email Indeterminada"
"Use","Uso"
"User ID","Identificação do Usuário"
"Verify Address in Admin","Verificar o Endereço na Administração"
"Verify Email in Admin","Verificar o Email na Administração"
