"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Rating","Adicionar nova avaliação"
"Assigned Options","Opções especificadas"
"Be the first to review this product","Seja a primeira pessoa a avaliar este produto"
"Default Value","Valor Predifinido"
"Delete Rating","Exclui avaliação"
"Edit Rating","Editar avaliação"
"ID","Identidade"
"If you do not specify a rating title for a store, the default value will be used.","Caso o título de avaliação não seja especificado, o valor padrão será utilizado."
"Manage Ratings","Gerenciar Classificações"
"New Rating","Nova avaliação"
"Option Label","Marca de opção"
"Option Title","Título da opção"
"Option Title:","Título da opção:"
"Please select one of each ratings above","Escolha uma de cada avaliação acima"
"Rating Information","Informações de avaliação"
"Rating Name","Nome da avaliação"
"Rating Options","Opções de avaliação"
"Rating Title","Título da avaliação"
"Rating Visibility","Visibilidade da avaliação"
"Rating isn't Available","A avaliação não está disponível"
"Rating with the same title","Avaliar com o mesmo título"
"Save Rating","Salvar avaliação"
"Sort Order","Classificar pedido"
"Visible In","Visível em"
