"--Please Select--","--Por Favor, Escolha--"
"AMEX","AMEX"
"AURORE","AURORE"
"Activated Key","Chave Ativada"
"Amount does not match.","Quantia não corresponde."
"An error has occurred","Ocorreu um erro"
"Authorization","Autorização"
"CARTE","CARTE"
"CB","CB"
"Cannot create the invoice.","Não é possível criar a fatura."
"Card Verification Number","Número de Verificação do Cartão"
"Cart Type","Tipo de Carrinho"
"Click <a href=""%s"">here</a> to continue shopping.","Clique <a href=""%s"">aqui</a> para continuar as compras."
"Command Line Mode","Modo de Linha de Comando"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit Card Type: %s","Tipo de Cartão de Crédito: %s"
"Credit Card Types","Tipos de Cartão de Crédito"
"Customer Choise","Escolha do Cliente"
"DEU (German)","DEU (Alemão)"
"DINERS","DINERS"
"Debug Flag","Flag de Debug"
"Delay in Displaying the Intermediary Page (in msec)","Atraso ao Exibir a Página de Intermediário (em ms)"
"E CARD","E CARD"
"ESP (Spanish)","ESP (espanhol)"
"EUROCARD & MASTERCARD","EUROCARD e MASTERCARD"
"Enabled","Ativado"
"Error in refunding the payment","Erro na devolução do pagamento"
"Expiration Date","Data de Validade"
"FRA (French)","FRA (francês)"
"GBR (English)","GBR (inglês)"
"GET","GET"
"HTML Form","Formulário de HTML"
"ITA (Italian)","ITA (italiano)"
"JCB","JCB"
"Language of the Payment Page","Idioma da Página de Pagamento"
"Management Mode of the Intermediary Page","Modo de Gerenciamento da Página Intermediária"
"Mode A","Modo A"
"Mode B","Modo B"
"Mode C","Modo C"
"Mode D","Modo D"
"Mode E","Modo E"
"Mode of Retrieval of Information","Modo de Recuperação de Informações"
"NLD (Dutch)","NLD (holandês)"
"Name of the Button on the Intermediary Page","Nome do Botão da Página Intermediária"
"Name on Card","Nome no Cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"New Order Status","Status do Novo Pedido"
"Only if the ""HTML From"" mode selected.","Somente se o modo ""De HTML"" for selecionado."
"Only with ""Command Line"" mode.","Somente com modo ""Linha de Comando""."
"Order does not match.","Solicitação não compatível."
"PAYBOX Identifier","Identificador do PAYBOX"
"PAYNOVA","PAYNOVA"
"PAYPAL","PAYPAL"
"POST","POST"
"Paybox CGI File","Arquivo CGI Paybox"
"Paybox Direct","Direto Paybox"
"Paybox System","Sistema Paybox"
"Paybox payment gateway is not available right now","Gateway de pagamento do Paybox não está disponível no momento"
"Payment","Pagamento"
"Payment Action","Ação de Pagamento"
"Payment Type","Tipo de Pagamento"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Ping Flag","Flag de Ping"
"Please Select","Por Favor Selecione"
"Rank Number","Número de Classificação"
"SWE (Swedish)","SWE (sueco)"
"SYMPASS","SYMPASS"
"Screen Background of the Intermediary Page","Fundo de Tela da Página Intermediária"
"Site Number (TPE)","Número do Site (TPE)"
"Sort Order","Classificar pedido"
"Specify the URL of the primary backup payment server if different from default.","Especifique a URL do servidor principal de backup para pagamento se for diferente do padrão."
"Specify the URL of the primary payment server if different from default.","Especifique a URL do servidor principal para pagamento se for diferente do padrão."
"Specify the URL of the second backup payment server if different from default.","Especifique o URL do segundo servidor de pagamento de backup, se diferente do padrão."
"Specify the URL of the third backup payment server if different from default.","Especifique o URL do terceiro servidor de pagamento de backup, se diferente do padrão."
"TCP Port","Porta TCP"
"TCP port used to check the availability of a payment server if ""Ping Flag"" enabled (default port is 443).","Porta TCP usada para verificar a disponibilidade de um servidor de pagamento se ""Flag Ping"" ativada (porta padrão é 443)."
"TERMINEO","TERMINEO"
"Text on the Intermediary Page","Texto na Página Intermediária"
"The URL of the Backup Payment Server","O URL do Servidor de Pagamento de Backup"
"The URL of the Primary Backup Payment Server","O URL do Servidor Principal de Pagamento de Backup"
"The URL of the Primary Payment Server","O URL do Servidor de Pagamento Principal"
"The URL of the Second Backup Payment Server","O URL do Segundo Servidor de Pagamento de Backup"
"The URL of the Third Backup Payment Server","O URL do Terceiro Servidor de Pagamento de Backup"
"The customer has returned from Paybox.","O cliente voltou de Paybox."
"The customer was redirected to Paybox","O cliente foi redirecionado para Paybox"
"The customer was redirected to Paybox using \'command line\' mode.","O cliente foi redirecionado para Paybox usando o modo \""linha de comando\""."
"The customer was refused by Paybox.","O cliente foi recusado por Paybox."
"The customer was rejected by Paybox.","O cliente foi rejeitado por Paybox."
"The invoice has been created.","A fatura foi criada."
"The order was canceled by the customer.","A ordem foi cancelada pelo cliente."
"There are no orders.","Não há ordens."
"There has been an error processing your payment. ","Houve um erro ao processar o seu pagamento."
"There has been an error processing your payment. Please try later or contact us for help.","Houve um erro ao processar o seu pagamento. Por favor tente mais tarde ou entre em contato conosco para obter ajuda."
"Time-out (in seconds) to check the avalaibility of the primary backup payment server (default 10 seconds).","Tempo limite (em segundos) para verificar a disponibilidade do servidor primário de pagamento de backup (10 segundos por defeito)."
"Time-out (in seconds) to check the avalaibility of the primary payment server (default 8 seconds).","Tempo limite (em segundos) para verificar a disponibilidade do servidor principal de pagamento (8 segundos por defeito)."
"Time-out (in seconds) to check the avalaibility of the second backup payment server (fefault 20 seconds).","Tempo limite (em segundos) para verificar a disponibilidade do segundo servidor de pagamento de backup (20 segundos por defeito)."
"Time-out (in seconds) to check the avalaibility of the third backup payment server (default 20 seconds).","Tempo limite (em segundos) para verificar a dispnibilidade do terceiro servidor de pagamento de  backup (20 segundos por defeito)."
"Timeout for Checking","Tempo Limite para Pagamento"
"Title","Título"
"VISA","VISA"
"What is this?","O que é isso?"
"You will be redirected to Paybox in a few seconds.","Você será redirecionado a Paybox em alguns segundos."
"You will be redirected to the Paybox website when you place an order.","Você será redirecionado ao website da Paybox quando fizer um pedido."
