"# of Uses","dos usos"
"%s tag(s) have been accepted for moderation.","%s tag(s) foi aceita pela moderação."
"<strong>Tag Name:</strong> %s","<strong>Nome da Tag:</strong> %s"
"Action","Ação"
"Add","Adicionar"
"Add New Tag","Adicionar Nova Tag"
"Add Tags","Adicionar Tags"
"Add Your Tags:","Adicione Suas Tags:"
"Add tag(s) to product","Adicionar tag(s) ao produto"
"Add to Cart","Adicionar ao carrinho"
"Add to Wishlist","Adicionar à Lista de Desejos"
"All Tags","Todas as Tags"
"Approved","Aprovado"
"Are you sure you want to delete this tag?","Você tem certeza que deseja apagar essa tag?"
"Are you sure you want to do this?","Tem certeza de que quer fazer isso?"
"Are you sure?","Tem certeza?"
"Back","Voltar"
"Back to Tags List","Voltar à Lista de Tags"
"Base Popularity","Popularidade de base"
"Block Information","Informações de bloco"
"CSV","CSV"
"Catalog Product View","Ver Catálogo de Produtos"
"Change status","Alterar status"
"Click on a tag to view your corresponding products.","Clique na tag para ver o produto correspondente"
"Country","País"
"Customer My Account My Tags List","Lista de Tags da Conta do Cliente"
"Customer My Account Tag View","Ver Tags da Minha Conta do Cliente"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Customers Submitted this Tag","Clientes submeteram essa Tag"
"Customers Tagged '%s'","Tags dos Clientes '%s'"
"Delete","Excluir"
"Delete Tag","Apagar Tag"
"Disabled","Desativado"
"Edit Tag '%s'","Editar Tag '%s'"
"Email","E-mail"
"First Name","Primeiro nome"
"General Information","Informações gerais"
"Grid","Grade"
"ID","Identidade"
"Info","Informações"
"Last Name","Último nome"
"List","Lista"
"Manage Tags","Gerenciar Tags"
"My Recent Tags","Minhas Tags Recentes"
"My Tags","Minhas Tags"
"Name","Nome"
"New Tag","Nova Etiqueta"
"No matches found.","Nenhuma correspondência encontrada."
"Other people marked this product with these tags:","Outra pessoa marcou este produto com essas tags:"
"Pending","Pendente"
"Pending Tags","Marcas Pendentes"
"Popular","Popular"
"Popular Tags","Tags Populares"
"Price","Preço"
"Product Name","Nome do produto"
"Product SKU","SKU do Produto"
"Product Tag API","API de tag de produto"
"Product Tags","Etiquetas de Produto"
"Products","Produtos"
"Products Tagged by Administrators","Produto marcado pelos Administradores"
"Products Tagged by Customers","Produto marcado pelos clientes"
"Products Tagged with '%s'","Produto Marcado com '%s'"
"Products tagged with '%s'","Produto marcado com '%s'"
"Rebuild Tag aggregation data","Reconstruir dados de agregação de Tag"
"Remove","Remover"
"Remove product tag","Remover tag de produto"
"Retrieve list of tags by product","Recuperar lista de tags por produto"
"Retrieve product tag info","Recuperar informações de tags de produto"
"SKU","Unidade de Manutenção de Estoque"
"Save Tag","Salvar Tag"
"Save and Continue Edit","Salvar e continuar a editar"
"Status","Status"
"Store View","Visualização da loja"
"Tag","Tag"
"Tag ""%s"" has already been added to the product.","A Tag ""%s"" já foi adicionada ao produto."
"Tag ""%s"" has been added to the product.","A Tag ""%s"" foi adicionada ao produto."
"Tag ""%s"" has been rejected by administrator.","A Tag ""%s"" foi rejeitada pelo administrador"
"Tag Aggregation Data","Dados de Agregação de Tag"
"Tag Name","Nome de Marca"
"Tagged Products List","Lista de Produtos Marcados"
"Tags","Marcas"
"Tags List (All Available)","Lista de Tags (Todas Disponíveis)"
"Tags List Before","Lista de Tags Anteriores"
"Tags:","Tags:"
"Telephone","Telefone"
"The tag has been deleted.","A marca foi eliminada."
"There are no tags available.","Não há tags disponíveis"
"Unable to find any products tagged with '%s' in the current store","Não é possível encontrar todos os produtos marcados com '%s' no armazenamento atual"
"Unable to remove tag. Please, try again later.","Não é possível remover a tag. Tente novamente mais tarde."
"Unable to save tag(s).","Não é possível salvar a tag(s)"
"Update","Atualizar"
"Update product tag","Atualizar tag de produto"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use espaço para separar as tags. Use aspas simples (') para frases."
"View All Tags","Ver Todas as Tags"
"View Customers","Ver Clientes"
"View Products","Ver Produtos"
"XML","XML"
"You have not tagged any products yet.","Você ainda não marcou nenhum produto."
"ZIP/Post Code","Código Postal"
"[STORE VIEW]","[VISUALIZAR LOJA]"
