"%s codes deleted","%s códigos excluidos"
"%s codes imported","%s códigos importados"
"%s codes not imported","%s códigos não importados"
"%s product in feed.","%s produto em feed."
"%s product not in feed.","%s produto não estão em feed."
"Add new","Adicionar novo"
"Attrib. Set Name","Nome do conjunto de atributos"
"Attributes map","Mapa de atributos"
"Cron Frequency","Frequência de cron"
"Cron Hour","Hora de cron"
"Delete","Excluir"
"Eav code","Código eav"
"FTP Password","Senha FTP"
"FTP Path","Caminho FTP"
"FTP Server","Servidor FTP"
"FTP Settings","Configurações FTP"
"FTP User","Usuário FTP"
"FTP: Can't delete files","FTP: não é possível excluir os arquivos"
"Feed","Feed"
"Feed code","Código de feed"
"ID","Identidade"
"Import","Importar"
"Import attribute map","Importar mapa de atributo"
"Import code","Importar código"
"In feed","Em feed"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","Para acessar as informações da sua conta FTP, você deve primeiro registrar e confirmar a sua loja no TheFind Merchant Center. Clique <a href=""https://merchant.thefind.com/mc/claim.fhtml"">aqui</a> para iniciar."
"Is imported","Importado"
"Item params","Parâmetros do item"
"Manage attributes","Gerenciar atributos"
"Manage items","Gerenciar itens"
"Not import","Não importados"
"Not publish","Não publicar"
"Price","Preço"
"Product Name","Nome do produto"
"Product import","Importar produto"
"Publish","Publicar"
"SKU","Unidade de Manutenção de Estoque"
"Settings","Configurações"
"The Find","The Find"
"TheFind Feed Filename","Nome do arquivo de feed do TheFind"
"TheFind feed","Feed do TheFind"
"Type","Tipo"
"Unable to process an import. ","Incapaz de processar uma importação."
"Update TheFind Item when Product is Updated","Atualizar item do TheFind quando o produto for atualizado"
