"Account Number","Número de Conta"
"Card Verification Number","Número de Verificação do Cartão"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit Card Type: %s","Tipo de Cartão de Crédito: %s"
"Credit Card Types","Tipos de Cartão de Crédito"
"Credit Card Verification","Verificação de Cartão de Crédito"
"Debug Flag","Flag de Debug"
"Demo Mode","Modo de Demonstração"
"Enabled","Ativado"
"Expiration Date","Data de Validade"
"Flo2Cash Payment Web Service","Serviço Web de Pagamento Flo2Cash"
"For ""Authorize"" or ""Capture"" transactions only.","Somente para transações de ""Autorização"" ou ""Captura""."
"For ""Purchase"" transactions only.","Somente para transações de ""Compra""."
"Name on Card","Nome no Cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"New Order Status","Status do Novo Pedido"
"Password","Senha"
"Payment Action","Ação de Pagamento"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Please Select","Por Favor Selecione"
"Sort Order","Classificar pedido"
"Title","Título"
"Username","Nome do usuário"
"What is this?","O que é isso?"
