"%s Index process is working now. Please try run this process later.","%s do processo de indexação está funcionando agora. Por favor, tente rodar esse processo mais tarde."
"%s index was rebuilt.","%s do índice foi reconstruído."
"'%s' Index Process Information","'%s' de Informações do Processo de Indexação"
"Action","Ação"
"Cannot initialize the indexer process.","Não é possível inicializar processo indexador."
"Change Index Mode","Alterar Modo de Indexação"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Clique aqui para ir ao <a href=""%s"">Gerenciador de Cache</a> e atualizar tipos de cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Clique aqui para ir ao <a href=""%s"">Gerenciador de Índice</a> e reconstruir os índices necessários."
"Description","Descrição"
"Disable","Desativar"
"Enable","Ativar"
"General","Geral"
"Index","Índice"
"Index Description","Descrição de Índice"
"Index Management","Gerenciamento de Índice"
"Index Mode","Modo de Índice"
"Index Name","Nome do Índice"
"Index mode","Modo de Índice"
"Indexer code is not defined.","Código Indexador não está definido."
"Indexer model is not defined.","Modelo indexador não está definido."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Modelo indexador deve incluir Mage_Index_Model_Indexer_Abstract."
"Manual Update","Atualização Manual"
"Mode","Modo"
"Never","Nunca"
"No","Não"
"One or more of the Indexes are not up to date:","Um ou mais dos índices não estão atualizados:"
"Please select Index(es)","Por favor, selecione índice(es)"
"Please select Indexes","Por favor, selecione índices"
"Process Information","Processar informação"
"Processing","Processando"
"Ready","Pronto"
"Refresh","Atualizar"
"Reindex Data","Reindexar Dados"
"Reindex Required","Obrigatório Reindexar"
"Status","Status"
"System","Sistema"
"The index has been saved.","O índice foi salvo"
"There was a problem with reindexing process.","Houve um problema com o processo de reindexação."
"There was a problem with saving process.","Houve um problema no processo de salvar."
"Total of %d index(es) have changed index mode.","Total de %d índice(es) mudaram o modo de índice."
"Total of %d index(es) have reindexed data.","Total de %d índice(es) reindexou dados."
"Update Required","Atualização necessária"
"Update on Save","Atualização em Salvar"
"Updated At","Atualizado Em"
"Yes","Sim"
