" Copy","Copiar"
"Action","Ação"
"Add New Template","Adicionar novo modelo"
"Add to Queue","Adicionar à Fila"
"Allow Guest Subscription","Permitir assinatura de convidado"
"An error occurred while saving your subscription.","Um erro ocorreu enquanto sua assinatura era salva."
"Are you sure that you want to delete this template?","Tem certeza de que deseja apagar este modelo?"
"Are you sure that you want to strip all tags?","Tem certeza de que deseja remover todas as tags?"
"Back","Voltar"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Cannot mark as received subscriber.","Não é possível marcar como assinante recebido."
"Confirmation Email Sender","Remetente do e-mail de confirmação"
"Confirmation Email Template","Modelo de e-mail de confirmação"
"Confirmation request has been sent.","O pedido de confirmação foi enviado."
"Convert to Plain Text","Converter para Texto Simples"
"Create Newsletter Template","Criar modelo de boletim informativo"
"Customer","Cliente"
"Customer First Name","Primeiro Nome do Cliente"
"Customer Last Name","Último Nome do Cliente"
"Customer My Account Newsletter Subscriptions","Assinatura do Boletim Informativo da Conta do Cliente"
"Date Added","Data de Adição"
"Date Updated","Data de Atualização"
"Delete","Excluir"
"Delete Selected Problems","Excluir Problemas Selecionados"
"Delete Template","Apagar Modelo"
"Do you really want to cancel the queue?","Você realmente quer cancelar a fila?"
"Duplicate template code.","Duplicar  código de modelos"
"Edit Newsletter","Editar Boletim Informativo"
"Edit Newsletter Template","Editar Modelo do Boletim Informativo"
"Edit Queue","Editar fila"
"Edit Template","Editar modelo"
"Email","E-mail"
"Error Code","Erro do código"
"Error Text","Erro do texto"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Siga esse link para cancelar assinatura <! Essa tag é para o link de cancelamento de assinatura --&gt;<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Convidado"
"ID","Identidade"
"Invalid queue selected.","Fila selecionada inválida"
"Invalid subscription ID.","ID de assinatura inválida"
"Invalid subscription confirmation code.","Código de confirmação de assinatura inválido."
"Message","Mensagem"
"Need to Confirm","Necessário confirmar"
"New Newsletter Template","Novo modelo de boletim informativo"
"New Template","Novo Modelo"
"Newsletter","Newsletter"
"Newsletter Message Preview","Visualização de mensagem do Boletim informativo"
"Newsletter Problem Reports","Reportar Problemas do Boletim Informativo."
"Newsletter Queue","Fila do Boletim Informativo"
"Newsletter Section","Seção do Boletim Informativo"
"Newsletter Styles","Estilos de Boletim Informativo"
"Newsletter Subscribers","Assinantes do Boletim Informativo"
"Newsletter Subscription","Assinatura do boletim informativo"
"Newsletter Subscription Form Before","Formulário Anterior de Assinatura do Boletim Informativo"
"Newsletter Subscriptions","Assinaturas do Boletim Informativo"
"Newsletter Templates","Modelos de Boletim Informativo"
"Newsletter subscription confirmation","Confirmação da assinatura do boletim informativo"
"Newsletter subscription success","Assinatura do boletim informativo confirmado com sucesso."
"Newsletter unsubscription success","Cancelamento de assinatura do boletim informativo confirmado com sucesso."
"No Templates Found","Nenhum Modelo Encontrado"
"No problems found.","Nenhum problema encontrado."
"No subscribers selected.","Nenhuma assinatura selecionada."
"Not Activated","Não ativado."
"Not Sent","Não Enviado"
"Pause","Parar."
"Paused","Parado."
"Please enter a valid email address.","Entre com um e-mail válido."
"Please enter new template name","Entre com um novo nome de modelo."
"Please refer to exeption.log","Por favor consulte exeption.log"
"Please select subscriber(s)","Selecione assinante(s)"
"Preview","Visualizar"
"Preview Template","Visualização do Modelo"
"Processed","Processado"
"Queue Date Start","Início  da fila de dados"
"Queue Finish","Fim da Fila"
"Queue Information","Informações sobre a Fila"
"Queue Newsletter...","Newsletter da Fila..."
"Queue Start","Começo da Fila"
"Queue Subject","Assunto da Fila"
"Recipients","Destinatários"
"Reset","Redefinir"
"Resume","Reiniciar"
"Return HTML Version","Retornar Versão HTML"
"Save As","Salvar Como"
"Save Newsletter","Salvar Newsletter"
"Save Template","Salvar Modelo"
"Save and Resume","Salvar e Reiniciar"
"Selected problem subscribers have been unsubscribed.","Assinantes com problema selecionado tiveram assinatura cancelada."
"Selected problems have been deleted.","Problemas selecionados foram deletados."
"Sender","Remetente"
"Sender Email","E-mail do remetente"
"Sender Name","Nome do remetente"
"Sending","Enviando"
"Sent","Enviado"
"Sign Up for Our Newsletter:","Assinar Nossa Newsletter:"
"Sign up for our newsletter","Assinar nossa newsletter"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Desculpe, mas o administrador negou assinatura para visitantes. Por favor, <a href=""%s"">registre-se</a>."
"Start","Iniciar"
"Status","Status"
"Store","Loja"
"Store View","Visualização da loja"
"Subject","Assunto"
"Subscribe","Assinar"
"Subscribed","Assinado"
"Subscriber","Assinante"
"Subscribers","Assinantes"
"Subscribers From","Formulário para assinantes"
"Subscription Options","Opções de assinaturas"
"Success Email Sender","Remetente para email de sucesso"
"Success Email Template","Modelo para email de sucesso"
"Template Content","Conteúdo do Modelo"
"Template Information","Informação do Modelo"
"Template Name","Nome do Modelo"
"Template Styles","Estilos do Modelo"
"Template Subject","Assunto do Modelo"
"Template Type","Tipo de Modelo"
"Thank you for your subscription.","Obrigado por sua assinatura."
"The subscription has been removed.","A assinatura foi removida."
"The subscription has been saved.","A assinatura foi salva."
"There was a problem with the subscription.","Houve um problema com a assinatura."
"There was a problem with the subscription: %s","Houve um problema com a assinatura: %s"
"There was a problem with the un-subscription.","Houve um problema no cancelamento da assinatura."
"This email address is already assigned to another user.","Este endereço de email já está atribuído a outro usuário."
"Type","Tipo"
"Unconfirmed","Não Confirmado"
"Unsubscribe","Desinscrever"
"Unsubscribe Selected","Desinscrever Selecionado"
"Unsubscribed","Desinscrito"
"Unsubscription Email Sender","Desinscrever Email do Remetente"
"Unsubscription Email Template","Desinscrição do Modelo de Email"
"View Newsletter","Ver Newsletter"
"Website","Website"
"You have been unsubscribed.","Sua inscrição foi cancelada."
"Your subscription has been confirmed.","Sua inscrição foi confirmada."
