"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","Foram desativadas as Regras de Preço do Catálogo %d baseadas no atributo ""%s""."
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar nova regra"
"An error occurred while deleting the rule. Please review the log and try again.","Ocorreu um erro ao apagar a regra. Reveja o relatório e tente novamente."
"An error occurred while saving the rule data. Please review the log and try again.","Ocorreu um erro ao salvar os dados da regra. Reveja o relatório e tente novamente."
"Apply Rules","Aplicar Regras"
"Attribute Set","Conjunto de Atributos"
"Catalog","Catálogo"
"Catalog Price Rule","Regra de Preço de Catálogo"
"Catalog Price Rules","Regras de Preço do Catálogo"
"Category","Categoria"
"Conditions","Condições"
"Conditions (leave blank for all products)","Condições (deixar em branco para todos os produtos)"
"Conditions Combination","Combinação de condições"
"Customer Groups","Grupos do cliente"
"Customer Registered: %s","Cliente Registrado: %s"
"Customer is a New Buyer: %s","Cliente como Novo Comprador: %s"
"Date Expire","Vencimento"
"Date From","Data Inicial"
"Date Start","Data Inicial"
"Date To","Data Final"
"Delete Rule","Apagar Regra"
"Description","Descrição"
"Description: %s","Descrição: %s"
"Edit Rule","Editar regra"
"Edit Rule '%s'","Editar regra ""s%"""
"Expiration Date","Data de Validade"
"Expire at: %s","Vence em: %s"
"From Date","A Partir da Data"
"General Information","Informações gerais"
"ID","Identidade"
"Inactive","Inativo"
"NOT LOGGED IN","NÃO LIGADO"
"Name: %s","Nome: %s"
"New Rule","Nova Regra"
"No","Não"
"Options","Opções"
"Priority","Prioridade"
"Product Attribute","Atributo de Produto"
"Promotions","Promoções"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Save Rule","Salvar Regra"
"Save and Apply","Salvar e Aplicar"
"Save and Continue Edit","Salvar e continuar a editar"
"Start Date","Data de início"
"Start at: %s","Iniciar em: %s"
"Status","Status"
"Stop Further Rules Processing","Parar Outras Regras de Processamento"
"The rule has been deleted.","A regra foi apagada."
"The rule has been saved.","A regra foi salva."
"The rules have been applied.","As regras foram aplicadas."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Existem regras que foram alteradas mas não foram aplicadas. Por favor, clique em Aplicar Regras para ver o efeito imediato no catálogo."
"This rule no longer exists.","Essa regra não existe mais."
"To Date","Até a Data Atual"
"Type","Tipo"
"Unable to apply rules.","Incapaz de aplicar as regras."
"Unable to find a rule to delete.","Incapaz de encontrar uma regra para excluir."
"Update product's %s %s: %s","Atualização dos produtos %s %s: %s"
"Websites","Sites"
"Wrong rule specified.","Especificação de regra incorreta."
"Yes","Sim"
