"Collected Files Count","Contagem de arquivos coletados"
"Compilation","Compilação"
"Compilation State","Estado de compilação"
"Compilation error","Erro de compilação"
"Compiled","Compilado"
"Compiled Scopes Count","Contagem de escopos compilados"
"Compiler Status","Status de compilador"
"Compiler include path is disabled.","O caminho de inclusão do compilador está desativado."
"Compiler include path is enabled.","O caminho de inclusão do compilador está ativado."
"Directory ""%s"" must be writeable","O diretório ""%s"" deve ser gravável"
"Disable","Desativar"
"Disabled","Desativado"
"Enable","Ativar"
"Enabled","Ativado"
"File ""%s"" must be writeable","O arquivo ""%s"" deve ser gravável"
"Not Compiled","Não compilado"
"Run Compilation Process","Executar o processo de compilação"
"Scopes Compilation Settings","Configurações de escopos de compilação"
"System","Sistema"
"The compilation has completed.","A compilação foi concluída."
"Tools","Ferramentas"
