"Accepted Currency","Moeda Aceita"
"An error has occurred","Ocorreu um erro"
"An error occurred during paying process.","Ocorreu um erro durante processo de pagamento."
"An error occurred during the paying process.","Ocorreu um erro durante o processo de pagamento."
"Authorize Only","Somente Autorizar"
"Authorize and Capture","Autorizar e Controlar"
"CGI URL","URL de CGI"
"Card Verification Number","Número de Verificação do Cartão"
"ChronoPay Gateway","Gateway ChronoPay"
"ChronoPay Standard","Padrão ChronoPay"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit Card Type: %s","Tipo de Cartão de Crédito: %s"
"Credit Card Types","Tipos de Cartão de Crédito"
"Customer Interface Language","Idioma da Interface de Cliente"
"Debug","Debug"
"Dutch","Holandês"
"Enabled","Ativado"
"English","Inglês"
"Expiration Date","Data de Validade"
"Gateway request error: %s","Erro de solicitação de gateway: %s"
"German","Alemão"
"Invalid operation code.","Código de operação inválido"
"Invalid response format.","Formato de resposta inválido"
"Issue Number","Número de Emissão"
"Name on Card","Nome no Cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"New Order Status","Status do Novo Pedido"
"Order #%s","Pedido #%s"
"Order number will be used if left empty.","Número de ordem será usado se deixado vazio."
"Payment Action","Ação de Pagamento"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Please Select","Por Favor Selecione"
"Product ID","ID do Produto"
"Russian","Russo"
"Shared Secret","Segredo Compartilhado"
"Site ID","ID do Site"
"Sort Order","Classificar pedido"
"Specify access URL: {STORE_URL}/chronopay/standard/success in the ChronoPay client admin.","Especifique URL de acesso: {STORE_URL}/chronopay/standard/success na administração de cliente ChronoPay."
"Start Date","Data de início"
"Switch/Solo/Maestro Only","Somente Swith/Solo/Maestro"
"The customer has successfully returned from Chronopay.","O cliente retornou com êxito de Chronopay."
"The customer was redirected to Chronopay.","O cliente foi redirecionado para Chronopay."
"The selected currency code (%s) is not compatible with ChronoPay.","O código da moeda selecionada (%s) não é compatível com ChronoPay."
"The transaction ID is invalid.","O ID da transação é inválido."
"Title","Título"
"Transaction Description","Descrição da Transação"
"What is this?","O que é isso?"
"You will be redirected to ChronoPay in a few seconds.","Você será redirecionado para ChronoPay em poucos segundos."
"You will be redirected to Chronopay website when you place an order.","Você será redirecionado para o site web Chronopay quando você colocar uma encomenda."
