"--Please Select--","--Bitte wählen--"
"API Login ID","API Login ID"
"Accepted Currency","Akzeptierte Währung"
"Authorize.net Direct Post","Authorize.net Direktpost"
"Card Verification Number","Kreditkartenprüfnummer"
"Card Verification Number Visual Reference","Kartenprüfnummer Sichtmerkmale"
"Close","Schließen"
"Credit Card Information","Kreditkarteninformationen"
"Credit Card Number","Kreditkartennummer"
"Credit Card Type","Kreditkartentyp"
"Credit Card Types","Kreditkartentypen"
"Credit Card Verification","Kreditkarten-Verifizierung"
"Debug","Fehlerbeseitigung"
"Email Customer","Kunden-Email"
"Enabled","Aktiviert"
"Expiration Date","Ablaufdatum"
"Gateway URL","Gateway URL"
"Maximum Order Total","Maximale Bestellung Total"
"Merchant MD5","Händler MD5"
"Merchant's Email","Händler-Email"
"Minimum Order Total","Minimale Bestellung Total"
"New Order Status","Neuer Bestellstatus"
"Order saving error: %s","Fehler beim Speichern der Order:"
"Payment Action","Zahlungsaktion"
"Payment authorization error.","Fehler bei der Zahlungsermächtigung."
"Payment authorization error. Transacion id is empty.","Fehler bei der Zahlungsbestätigung. Transaktions-ID ist leer."
"Payment error. Order was not found.","Zahlungsfehler. Bestellung konnte nicht gefunden werden."
"Payment error. Paid amount doesn\'t match the order amount.","Zahlungsfehler. Gezahlter Betrag entspricht nicht dem Rechnungsbetrag."
"Payment from Applicable Countries","Zahlung aus geeigneten Ländern"
"Payment from Specific Countries","Zahlung  aus spezifischen Ländern"
"Please, choose payment method","Bitte wählen Sie die Zahlungsmethode"
"Response hash validation failed. Transaction declined.","Überprüfung der Zahlungsfähigkeit fehlgeschlagen. Transaktion abgelehnt."
"Sort Order","Sortierfolge"
"Test Mode","Testmodus"
"The order has been created.","Die Bestellung wurde aufgenommen."
"There was an error processing your order. Please contact us or try again later.","Bei der Bearbeitung Ihrer Bestellung ist ein Fehler aufgetreten. Bitte kontaktieren Sie uns oder versuchen Sie es später noch einmal."
"Title","Titel"
"Transaction Key","Transaktionsschlüssel"
"What is this?","Was ist das?"
"You will be required to enter your payment details before you place an order.","Bevor Sie eine Bestellung aufgeben können, müssen Sie Ihre Zahlungsdetails angeben."
