Cancel,Cancelar
"You don't have enough on your credit card to pay for this purchase. To complete your purchase, click ""OK"" and add a credit card to use for the balance. Otherwise, you can cancel the purchase and release the partial payment we are holding.","You don't have enough on your credit card to pay for this purchase. To complete your purchase, click ""OK"" and add a credit card to use for the balance. Otherwise, you can cancel the purchase and release the partial payment we are holding."
"Your credit card has been declined. You can click OK to add another credit card to complete your purchase. Or you can cancel this credit transaction and pay a different way.","Your credit card has been declined. You can click OK to add another credit card to complete your purchase. Or you can cancel this credit transaction and pay a different way."
"We canceled your payment and released any money we were holding.","We canceled your payment and released any money we were holding."
"You can't use any more credit cards for this payment, and you don't have enough to pay for this purchase. Sorry, but we'll have to cancel your transaction.","You can't use any more credit cards for this payment, and you don't have enough to pay for this purchase. Sorry, but we'll have to cancel your transaction."
"Your order has not been placed, because the contents of the shopping cart and/or your address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process to purchase your cart contents.","Your order has not been placed, because the contents of the shopping cart and/or your address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process to purchase your cart contents."
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Tem certeza de que deseja cancelar o seu pagamento? Clique em OK para cancelar o seu pagamento e liberar o montante em espera. Clique em Cancelar para inserir outro cartão de crédito e continuar com o seu pagamento."
"Processed Amount","Valor Processado"
"Remaining Balance","Balanço Restante"
"Order saving error: %1","Order saving error: %1"
"Please choose a payment method.","Please choose a payment method."
"You created the order.","You created the order."
"Something went wrong canceling the transactions.","Something went wrong canceling the transactions."
"There was an error canceling transactions. Please contact us or try again later.","Ocorreu um erro ao cancelar as transações. Por favor entre em contato conosco ou tente novamente mais tarde."
"We couldn't process your order right now. Please try again later.","We couldn't process your order right now. Please try again later."
"amount %1","amount %1"
failed,fracassado
successful,"bem sucedido"
"Credit Card: xxxx-%1","Credit Card: xxxx-%1"
"Authorize.Net Transaction ID %1","Authorize.Net Transaction ID %1"
authorize,autorizar
"authorize and capture","autorizar e capturar"
capture,capturar
refund,reembolso
void,vazio
"This is an invalid amount for authorization.","This is an invalid amount for authorization."
"This is an invalid amount for capture.","This is an invalid amount for capture."
"This is an invalid amount for refund.","This is an invalid amount for refund."
"This is an invalid split tenderId ID.","This is an invalid split tenderId ID."
"Something went wrong while canceling the payment.","Something went wrong while canceling the payment."
