"--Please Select--","-- 请选择 --"
"API Login ID","API 登录 ID"
"Accepted Currency","接受的汇率"
"Authorize.net Direct Post","Authorize.net 直接发表"
"Card Verification Number","卡片验证号码"
"Card Verification Number Visual Reference","信用卡验证号码 视觉参考"
"Close","关闭"
"Credit Card Information","信用卡信息"
"Credit Card Number","信用卡号码"
"Credit Card Type","信用卡类型"
"Credit Card Types","信用卡类型"
"Credit Card Verification","信用卡验证"
"Debug","调试"
"Email Customer","发送电子邮件给客户"
"Enabled","已启用"
"Expiration Date","过期日期"
"Gateway URL","网关 URL"
"Maximum Order Total","最大订单总数"
"Merchant MD5","商家 MD5"
"Merchant's Email","商家电子邮件"
"Minimum Order Total","最小订单总数"
"New Order Status","新订单状态"
"Order saving error: %s","订单保存错误：%s"
"Payment Action","支付操作"
"Payment authorization error.","支付授权错误。"
"Payment authorization error. Transacion id is empty.","支付授权出错。交易编号为空。"
"Payment error. Order was not found.","支付出错，订单未找到。"
"Payment error. Paid amount doesn\'t match the order amount.","支付错误。付款金额与订单金额不匹配。"
"Payment from Applicable Countries","从可接受的国家支付"
"Payment from Specific Countries","从指定的国家支付"
"Please, choose payment method","请选择支付方式"
"Response hash validation failed. Transaction declined.","响应哈希验证失败。交易被拒绝。"
"Sort Order","排序顺序"
"Test Mode","测试模式"
"The order has been created.","订单已创建。"
"There was an error processing your order. Please contact us or try again later.","处理您的订单时遇到了错误。请联系我们，或稍后再试。"
"Title","标题"
"Transaction Key","交易密钥"
"What is this?","这是什么？"
"You will be required to enter your payment details before you place an order.","您将需要输入您的支付详情，随后才能下单。"
