"--Please Select--","--selecteer a.u.b.--"
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Card Validation"
"API Login ID","API Login ID"
"API Login ID","API login ID"
"Accepted Currency","Geaccepteerde munteenheid"
"Accepted Currency","Geaccepteerde valuta"
"Allow Partial Authorization","Gedeeltelijke autorisatie toestaan"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Weet u zeker dat u uw betaling wilt annuleren? Klik op OK om uw betaling te annuleren en het geld vrij te geven. Klik op Cancel om een andere kredietkaart te gebruiken en verder te gaan met uw betaling."
"Authorize Only","Alleen authoriseren"
"Authorize and Capture","Authoriseren en opnemen"
"Authorize.Net Transaction ID %s","Authorize.Net Transactie ID %s"
"Authorize.net","Authorize.net"
"Authorize.net Direct Post","Authorize.net directe post"
"Cancel","Annuleren"
"Card Verification Number","Kaart verificatie nummer"
"Card Verification Number Visual Reference","Kaart verificatie nummer visuele referentie"
"Centinel API URL","Centinel API URL"
"Close","sluiten"
"Credit Card Information","Creditcard informatie"
"Credit Card Number","Creditcardnummer"
"Credit Card Type","Creditcardtype"
"Credit Card Types","Creditcardtypes"
"Credit Card Types","Types credit card"
"Credit Card Verification","Creditcard verificatie"
"Credit Card Verification","Credit Card Verificatie"
"Credit Card: xxxx-%s","Kredietkaart: xxxx-%s"
"Debug","Debug"
"Email Customer","email klant"
"Email Customer","E-mail Klant"
"Enabled","Aan"
"Enabled","Werkzaam gemaakt"
"Error in payment gateway.","Fout in betaling gateway."
"Expiration Date","vervaldatum"
"Gateway URL","Gateway URL"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Gateway acties zijn vergrendeld omdat de gateway een of meerdere transacties niet kan voltooien. Log alstublieft in op uw Authorize.Net account om zelf het problem/de problemen op te lossen."
"Gateway error: %s","Gateway fout: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Indien leeg, een standaard waarde kan worden gebruikt. Een aangepaste URL kan worden geleverd volgens de CardinalCommerce overeenkomst"
"Invalid amount for authorization.","Ongeldig bedrag voor autorisatie."
"Invalid amount for capture.","Ongeldige aantal voor vangst."
"Invalid amount for partial authorization.","Ongeldig aantal voor gedeeltelijke autorisatie."
"Invalid amount for refund.","Ongeldige aantal voor teruggave."
"Invalid split tenderId ID.","Ongeldige split tenderld ID."
"Maximum Order Total","Maximale bestellingstotalen"
"Maximum Order Total","Maximale Bestelling"
"Merchant MD5","Verkoper MD5"
"Merchant's Email","Verkoper's email"
"Merchant's Email","Verkopers e-mail"
"Minimum Order Total","Minimale Bestelling"
"Minimum Order Total","Minimale bestellingstotalen"
"New Order Status","Nieuwe Status van de Bestelling"
"New Order Status","Nieuwe bestellingsstatus"
"Order saving error: %s","Bestelling opslaan fout: %s"
"Payment Action","Betaling"
"Payment Action","Betalingsactie"
"Payment authorization error.","Fout bij autorisatie betaling."
"Payment authorization error.","Betalingsautorisatie fout."
"Payment authorization error. Transacion id is empty.","Betalings autorisatie fout. Transactie ID is leeg."
"Payment canceling error.","Probleem met het annuleren van de betaling."
"Payment capturing error.","Fout in het ophalen van de betaling."
"Payment error. Order was not found.","Betalingsfout. Bestelling is niet gevonden."
"Payment error. Paid amount doesn't match the order amount.","Betalingsfout. Betaalde bedrag is niet hetzelfde als bedrag van bestelling."
"Payment from Applicable Countries","Betaling vanuit toegestane landen"
"Payment from Applicable Countries","Betaling van Geëigende Landen"
