Cancel,取消
"You don't have enough on your credit card to pay for this purchase. To complete your purchase, click ""OK"" and add a credit card to use for the balance. Otherwise, you can cancel the purchase and release the partial payment we are holding.","You don't have enough on your credit card to pay for this purchase. To complete your purchase, click ""OK"" and add a credit card to use for the balance. Otherwise, you can cancel the purchase and release the partial payment we are holding."
"Your credit card has been declined. You can click OK to add another credit card to complete your purchase. Or you can cancel this credit transaction and pay a different way.","Your credit card has been declined. You can click OK to add another credit card to complete your purchase. Or you can cancel this credit transaction and pay a different way."
"We canceled your payment and released any money we were holding.","We canceled your payment and released any money we were holding."
"You can't use any more credit cards for this payment, and you don't have enough to pay for this purchase. Sorry, but we'll have to cancel your transaction.","You can't use any more credit cards for this payment, and you don't have enough to pay for this purchase. Sorry, but we'll have to cancel your transaction."
"Your order has not been placed, because the contents of the shopping cart and/or your address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process to purchase your cart contents.","Your order has not been placed, because the contents of the shopping cart and/or your address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process to purchase your cart contents."
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.",您是否确定要取消支付？单击确定可取消您的支付，并释放占用的额度。单击取消可输入其他信用卡，并继续进行支付。
"Processed Amount",处理的额度
"Remaining Balance",剩下的余额
"Order saving error: %1","Order saving error: %1"
"Please choose a payment method.","Please choose a payment method."
"You created the order.","You created the order."
"Something went wrong canceling the transactions.","Something went wrong canceling the transactions."
"There was an error canceling transactions. Please contact us or try again later.",取消交易时遇到了错误。请联系我们或稍候重试。
"We couldn't process your order right now. Please try again later.","We couldn't process your order right now. Please try again later."
"amount %1","amount %1"
failed,失败
successful,成功
"Credit Card: xxxx-%1","Credit Card: xxxx-%1"
"Authorize.Net Transaction ID %1","Authorize.Net Transaction ID %1"
authorize,授权
"authorize and capture",授权和获取
capture,获取
refund,退款
void,避免
"This is an invalid amount for authorization.","This is an invalid amount for authorization."
"This is an invalid amount for capture.","This is an invalid amount for capture."
"This is an invalid amount for refund.","This is an invalid amount for refund."
"This is an invalid split tenderId ID.","This is an invalid split tenderId ID."
"Something went wrong while canceling the payment.","Something went wrong while canceling the payment."
"Something went wrong while authorizing the payment.","Something went wrong while authorizing the payment."
"Something went wrong while capturing the payment.","Something went wrong while capturing the payment."
