"--Please Select--","--Por favor, seleccione-"
"3D Secure","3D Secure"
"3D Secure Card Validation","Validación de Tarjeta 3D Secure"
"API Login ID","ID de inicio de sesión en API"
"API Login ID","Id. de inicio de sesión de API"
"Accepted Currency","Moneda aceptada"
"Accepted Currency","Moneda Aceptada"
"Allow Partial Authorization","Permitir Autorización Parcial"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","¿Está seguro de que desea cancelar su pago? Pinche en Aceptar para cancelar el pago y liberar la cantidad retenida. Pinche en ""Cancelar"" para introducir otra tarjeta de crédito y continuar con su pago."
"Authorize Only","Sólo autorizar"
"Authorize and Capture","Autorizar y capturar"
"Authorize.Net Transaction ID %s","Identificación de la Transacción %s Authorize.Net"
"Authorize.net","Authorize.net"
"Authorize.net Direct Post","Enlace directo a authorize.net"
"Cancel","Cancelar"
"Card Verification Number","Número de Verificación de Tarjeta"
"Card Verification Number Visual Reference","Referencia visual del número de verificación de tarjeta"
"Centinel API URL","Centinel API URL"
"Close","Cerrar"
"Credit Card Information","Información de la tarjeta de crédito"
"Credit Card Number","Número de Tarjeta de Crédito"
"Credit Card Type","Tipo de Tarjeta de Crédito"
"Credit Card Types","Tipos de Tarjeta de Crédito"
"Credit Card Types","Tipos de tarjeta de crédito"
"Credit Card Verification","Verificación de Tarjeta de Crédito"
"Credit Card Verification","Verificación de tarjeta de crédito"
"Credit Card: xxxx-%s","Tarjeta de Crédito: xxxx-%s"
"Debug","Depurar"
"Email Customer","Cliente de correo"
"Email Customer","Enviar mensaje de correo electrónico al cliente"
"Enabled","Habilitado"
"Error in payment gateway.","Error en el proceso de pago."
"Expiration Date","Fecha de Caducidad"
"Gateway URL","URL de la puerta de enlace"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Las acciones de Gateway se han bloqueadas ya que gateway no puede completar una o varias transacciones. Por favor, inicie sesión manualmente en su cuenta Authorize.Net para resolver el/los problema/s."
"Gateway error: %s","Error de proceso: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Al dejarlo en blanco, se utilizará un valor por defecto. Se puede proporcionar un URL personalizado por el acuerdo CardinalCommerce."
"Invalid amount for authorization.","Monto no válido para la autorización."
"Invalid amount for capture.","Cantidad para retención no válida."
"Invalid amount for partial authorization.","Cantidad de autorización parcial no válida."
"Invalid amount for refund.","Cantidad de reembolso no válida."
"Invalid split tenderId ID.","La identificación tenderId no se puede separar."
"Maximum Order Total","Total máximo de pedido"
"Maximum Order Total","Total del pedido máximo"
"Merchant MD5","MD5 del comerciante"
"Merchant's Email","Email del comerciante"
"Merchant's Email","Correo electrónico del vendedor"
"Minimum Order Total","Total mínimo de pedido"
"Minimum Order Total","Total del pedido mínimo"
"New Order Status","Estado de los nuevos pedidos"
"New Order Status","Nuevo estado de pedido"
"Order saving error: %s","Error al guardar el pedido: %s"
"Payment Action","Acción de pago"
"Payment Action","Acción de Pago"
"Payment authorization error.","Error de autorización de pago."
"Payment authorization error.","Error en la autorización de pago."
"Payment authorization error. Transacion id is empty.","Error de autorización del pago. El identificador de transacción está vacío."
"Payment canceling error.","Error en el pago de cancelación."
"Payment capturing error.","Error en el pago de retención."
"Payment error. Order was not found.","Error de pago. No se encontró el pedido."
"Payment error. Paid amount doesn't match the order amount.","Error de pago. El importe pagado no coincide con el importe del pedido."
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment from Specific Countries","Pago desde países específicos"
"Payment partial authorization error.","Error en el pago parcial de la autorización."
"Payment refunding error.","Error en el pago de reembolso."
"Payment updating error.","Error de actualización del pago."
"Payment voiding error.","Error en la anulación del pago."
"Please, choose payment method","Seleccione un método de pago"
"Processed Amount","Cantidad Procesada"
"Remaining Balance","Saldo Restante"
"Response hash validation failed. Transaction declined.","Fallo de validación del hash de respuesta. Se rechazó la transacción."
"Severe 3D Secure Card Validation","Validación de Tarjeta Severe 3D Secure"
"Severe Validation Removes Chargeback Liability on Merchant","La Validación Severe Suprime la Responsabilidad de Cancelación de Cargo del Comerciante"
"Shopping cart contents and/or address has been changed.","El contenido de la cesta de compra y/o la dirección han cambiado."
"Sort Order","Orden de selección"
"Sort Order","Ordenar Pedido"
"Test Mode","Modo de prueba"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","No tiene suficiente dinero en su tarjeta de crédito para completar la compra. El dinero disponible ha sido retenido. Para completar la compra, pulse OK y especifique un número de tarjeta de crédito adicional. Para cancelar la compra y liberar el dinero retenido, pulse Cancelar."
"The order has been created.","Se ha creado el pedido."
