Cancel,Annuler
"You don't have enough on your credit card to pay for this purchase. To complete your purchase, click ""OK"" and add a credit card to use for the balance. Otherwise, you can cancel the purchase and release the partial payment we are holding.","You don't have enough on your credit card to pay for this purchase. To complete your purchase, click ""OK"" and add a credit card to use for the balance. Otherwise, you can cancel the purchase and release the partial payment we are holding."
"Your credit card has been declined. You can click OK to add another credit card to complete your purchase. Or you can cancel this credit transaction and pay a different way.","Your credit card has been declined. You can click OK to add another credit card to complete your purchase. Or you can cancel this credit transaction and pay a different way."
"We canceled your payment and released any money we were holding.","We canceled your payment and released any money we were holding."
"You can't use any more credit cards for this payment, and you don't have enough to pay for this purchase. Sorry, but we'll have to cancel your transaction.","You can't use any more credit cards for this payment, and you don't have enough to pay for this purchase. Sorry, but we'll have to cancel your transaction."
"Your order has not been placed, because the contents of the shopping cart and/or your address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process to purchase your cart contents.","Your order has not been placed, because the contents of the shopping cart and/or your address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process to purchase your cart contents."
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Etes-vous sûr de vouloir annuler votre paiement ?  Cliquez sur OK pour annuler le paiement et débloquer le montant en attente. Cliquez sur Quitter pour entrer une autre carte bancaire et continuer le paiemetn."
"Processed Amount","Montant réalisé"
"Remaining Balance","Balance restante"
"Order saving error: %1","Order saving error: %1"
"Please choose a payment method.","Please choose a payment method."
"You created the order.","You created the order."
"Something went wrong canceling the transactions.","Something went wrong canceling the transactions."
"There was an error canceling transactions. Please contact us or try again later.","Une erreur s'est produite lors de l'annulation de transactions. Veuillez nous contacter ou réessayer ultérieurement."
"We couldn't process your order right now. Please try again later.","We couldn't process your order right now. Please try again later."
"amount %1","amount %1"
failed,échoué
successful,réussi
"Credit Card: xxxx-%1","Credit Card: xxxx-%1"
"Authorize.Net Transaction ID %1","Authorize.Net Transaction ID %1"
authorize,autoriser
"authorize and capture","autoriser et saisir"
capture,saisir
refund,remboursement
void,vide
"This is an invalid amount for authorization.","This is an invalid amount for authorization."
"This is an invalid amount for capture.","This is an invalid amount for capture."
"This is an invalid amount for refund.","This is an invalid amount for refund."
"This is an invalid split tenderId ID.","This is an invalid split tenderId ID."
"Something went wrong while canceling the payment.","Something went wrong while canceling the payment."
