"--Please Select--","--選択してください--"
"API Login ID","APIログインID"
"Accepted Currency","支払可能通貨"
"Authorize.net Direct Post","Authorize.net ダイレクトポスト"
"Card Verification Number","カード確認番号"
"Card Verification Number Visual Reference","カード確認番号ビジュアルリファレンス"
"Close","閉じる"
"Credit Card Information","クレジットカード番号"
"Credit Card Number","クレジットカード番号"
"Credit Card Type","クレジットカード会社"
"Credit Card Types","クレジットカード会社"
"Credit Card Verification","カード確認番号"
"Debug","デバッグ"
"Email Customer","顧客メールアドレス"
"Enabled","有効"
"Expiration Date","有効期限"
"Gateway URL","ゲートウェイURL"
"Maximum Order Total","最大注文価格"
"Merchant MD5","マーチャントMD5"
"Merchant's Email","マーチャントメールアドレス"
"Minimum Order Total","最小注文価格"
"New Order Status","新規注文ステータス"
"Order saving error: %s","注文の保存エラー: %s"
"Payment Action","支払アクション"
"Payment authorization error.","オーソリエラー"
"Payment authorization error. Transacion id is empty.","オーソリエラーです。トランザクションIDが空です。"
"Payment error. Order was not found.","決済エラー。注文データが見つかりません。"
"Payment error. Paid amount doesn\'t match the order amount.","決済エラー。支払額が注文時の金額と一致していません。"
"Payment from Applicable Countries","許可された国からの支払"
"Payment from Specific Countries","特定の国からの支払"
"Please, choose payment method","支払い方法を選択してください"
"Response hash validation failed. Transaction declined.","レスポンスハッシュデータの照合に失敗しました。"
"Sort Order","並び順"
"Test Mode","テストモード"
"The order has been created.","注文を作成しました。"
"There was an error processing your order. Please contact us or try again later.","ご注文の処理中にエラーが発生しました。やり直してください。"
"Title","タイトル"
"Transaction Key","トランザクションキー"
"What is this?","これは何ですか？"
"You will be required to enter your payment details before you place an order.","注文完了前に支払情報を入力してください。"
