"Authorization","Autorização"
"Authorization Waiting from Ogone","Esperando Autorização de Ogone"
"Authorization not known: A technical problem arose during authorization process, giving unpredictable result","Autorização não conhecida: Um problema técnico surgiu durante o processo de autorização, dando resultado imprevisível"
"Background Color of Ogone Template","Cor de Fundo de Modelo Ogone"
"Button Background Color of the Ogone Template","Botão de Cor de Fundo do Modelo Ogone"
"Button Text Color of the Ogone Template","Botão de Cor de Texto do Modelo Ogone"
"Can\'t detect Ogone payment action","Não é possível detetar a ação de pagamento Ogone"
"Cancelled Ogone","Ogone Cancelada"
"Debug","Debug"
"Declined Ogone","Ogone Recusada"
"Declined Order on Ogone side.","Ordem Recusada do lado Ogone."
"Direct Sale","Venda Direta"
"E.g: ""Verdana"".","Exemplo: ""Verdana""."
"E.g: ""black"".","Exemplo: ""preto""."
"E.g: ""white"".","Exemplo: ""branco""."
"Enabled","Ativado"
"Enabling this feature needs adjusting ""Technical information > Global security parameters"" on merchant administration.","A ativação deste recurso precisa de ajuste de ""Informações técnicas > Parâmetros de segurança globais"" na administração comerciante."
"Exception not defined","Exceção não definida"
"Font Family of the Ogone Template","Família de Fontes do Modelo Ogone"
"For production, replace ""test"" with ""prod"". Example: https://secure.ogone.com/ncol/prod/orderstandard.asp","Para a produção, substitua ""teste"" com ""prod"". Exemplo: https://secure.ogone.com/ncol/prod/orderstandard.asp"
"Gateway URL","URL do Gateway"
"Hash All Parameters","Misture Todos os Parâmetros"
"Hashing Algorithm","Misturando Algoritmos"
"Horizontally grouped logo with group name on left","Logotipo horizontalmente agrupado com nome do grupo à esquerda"
"Horizontally grouped logo with no group name","Logotipo horizontalmente agrupado com nenhum nome de grupo"
"If you choose ""No Operation"", Ogone will use default payment procedure setup in Ogone configuration.","Se você escolher ""Sem Operação"", Ogone usará a configuração do procedimento de pagamento predifinida na configuração Ogone."
"If you choose ""Ogone Template"", you will need to fill in all the following fields.","Se você escolher ""Modelo Ogone"", você precisará preencher todos os campos a seguir."
"Layout of Payment Methods","Disposição dos Métodos de Pagamento"
"Logo of the Ogone Template","Logo do Modelo Ogone"
"Magento","Magento"
"Ogone","Ogone"
"Ogone Default Operation","Operação Predifinida Ogone"
"Order can\'t save","Não pode salvar ordem"
"PSPID","PSPID"
"Payment Action","Ação de Pagamento"
"Payment Template","Modelo de Pagamento"
"Payment transaction has been declined.","Operação de pagamento foi recusada."
"Payment uncertain: A technical problem arose during payment process, giving unpredictable result","Pagamento incerto: Um problema técnico surgiu durante o processo de pagamento, dando um resultado imprevisível"
"Pending Ogone","Ogone Pendente"
"Please, wait a moment. This page will transfer your data to Ogone payment gateway in a few seconds.","Por favor, aguarde um momento. Esta página vai transferir seus dados para o portal de pagamento Ogone em poucos segundos."
"Processed Ogone Payment","Pagamento Ogone Processado"
"Processed by Ogone","Processado por Ogone"
"Processing Ogone Payment","Processando Pagamento Ogone"
"SHA-IN Pass Phrase","Frase Senha SHA-IN"
"SHA-OUT Pass Phrase","Frase Senha SHA-OUT"
"Start Ogone Processing","Iniciar Processamento Ogone"
"Table Background Color of the Ogone Template","Tabela de Cores de Fundo do Modelo Ogone"
"Table Text Color of the Ogone Template","Tabela de Cores de Texto do Modelo Ogone"
"Text Color of the Ogone Template","Cor de Texto do Modelo Ogone"
"The hash is not valid","A mistura não é válida"
"The order cannot be canceled for a system reason.","A ordem não pode ser cancelada por um motivo do sistema."
"The order cannot be saved for a system reason.","A ordem não pode ser salva por um motivo do sistema."
"The order cannot be saved.","A ordem não pode ser salva."
"The order is not valid","A ordem não é válida"
"The order was canceled on ogone side.","A ordem foi cancelada do lado ogone."
"Title","Título"
"Title of the Ogone Template","Título do Modelo Ogone"
"To hash <strong>all parameters</strong>, select the following options in the ""Global security parameters"" fieldset: <ul><li>Each parameter followed by the pass phrase.</li><li>""Hash algorithm"" same as ""Hashing Algorithm"" below</li><li>UTF-8</li></ul>","Para misturar <strong>todos os parâmetros</strong>, selecione as seguintes opções no conjunto de campos ""Parâmetros de segurança global"": <ul><li>Cada parâmetro seguido pela frase passagem.</li><li>""Algoritmo de mistura"" mesmo que ""Algoritmo de mixagem"" abaixo</li><li>UTF-8</li></ul>"
"URL/filename of the logo.<br />The URL must be absolute and stored on a secure server.","URL/nome do arquivo do logotipo.<br /> O URL deve ser absoluto e armazenado em um servidor seguro."
"Unknown exception","Exceção desconhecida"
"Use in posting data from Magento to Ogone.<br/>Use in data checking by Ogone before the payment.","Use ao postar dados de Magento para Ogone.<br/>Use em verificação de dados por Ogone antes do pagamento."
"Use in posting data from Ogone to Magento.<br/>Use in feedback data checking by Magento.","Uso ao postar dados de Ogone para Magento.<br/>Use no controlo de retroalimentação de dados por Magento."
"Verical list","Lista verical"
"Waiting Authorization","Esperando Autorização"
"You can arrange the layout/list of the payment methods on Ogone payment page.","Você pode organizar o layout/lista dos métodos de pagamento na página de pagamento Ogone."
"You will be redirected to Ogone website when you place an order.","Você será redirecionado para o site Ogone quando você colocar uma ordem."
