Subtotal,小计
Discount,折扣
"Grand Total",总计
Tax,传真
Catalog,Catalog
From:,来自：
To:,至：
"Gift Message",礼品消息
Message:,信息：
"Click for price",单击获取价格
"New Products",新产品
Wishlist,Wishlist
"New Products from %1","New Products from %1"
"Low Stock Products",产品库存低
"%1 has reached a quantity of %2.","%1 has reached a quantity of %2."
"Pending product review(s)",未决的产品评论
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Product: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Summary of review: %1 <br/>"
"Review: %1 <br/>","Review: %1 <br/>"
"Store: %1 <br/>","Store: %1 <br/>"
"Click <a href=""%1"">here</a> to view the review.","Click <a href=""%1"">here</a> to view the review."
"Product: ""%1"" reviewed by: %2","Product: ""%1"" reviewed by: %2"
"%1 - Discounts and Coupons","%1 - Discounts and Coupons"
"%1 - Special Products","%1 - Special Products"
"Special Expires On: %1","Special Expires On: %1"
"Price: %1","Price: %1"
"Special Price: %1","Special Price: %1"
"Special Products",特殊商品
Coupons/Discounts,代金券/折扣
"New Orders",新订单
"Order #%1 created at %2","Order #%1 created at %2"
"Order # %1 Notification(s)","Order # %1 Notification(s)"
"Details for %1 #%2","Details for %1 #%2"
"Notified Date: %1<br/>","Notified Date: %1<br/>"
"Comment: %1<br/>","Comment: %1<br/>"
"Current Status: %1<br/>","Current Status: %1<br/>"
"Total: %1<br/>","Total: %1<br/>"
"%1's Wishlist","%1's Wishlist"
Comment:,Comment:
"We cannot retrieve the wish list.","We cannot retrieve the wish list."
"There was no RSS feed enabled.","There was no RSS feed enabled."
"Error in processing xml. %1","Error in processing xml. %1"
"Subscribe to RSS Feed","Subscribe to RSS Feed"
"Miscellaneous Feeds",杂项源订阅
"Get Feed",获取源
"Category Feeds",分类源
"There are no Rss Feeds.","There are no Rss Feeds."
"Customer Name: %1","Customer Name: %1"
"Purchased From: %1","Purchased From: %1"
"Discount (%1)","Discount (%1)"
"Shipping &amp; Handling",运送与手续费
"RSS Feeds","RSS 订阅源"
"Rss Config","Rss Config"
"Enable RSS","Enable RSS"
"Top Level Category","Top Level Category"
"Customer Order Status Notification","Customer Order Status Notification"
