Subtotal,Sous-total
Discount,Discount
"Grand Total","Total final"
Tax,Taxe
Catalog,Catalog
From:,"De :"
To:,"A :"
"Gift Message","Message cadeau"
Message:,"Message :"
"Click for price","Cliquez pour le prix"
"New Products","Nouveaux produits"
Wishlist,Wishlist
"New Products from %1","New Products from %1"
"Low Stock Products","Produits à stock faible"
"%1 has reached a quantity of %2.","%1 has reached a quantity of %2."
"Pending product review(s)","Produits en attente de critique(s)"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Product: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Summary of review: %1 <br/>"
"Review: %1 <br/>","Review: %1 <br/>"
"Store: %1 <br/>","Store: %1 <br/>"
"Click <a href=""%1"">here</a> to view the review.","Click <a href=""%1"">here</a> to view the review."
"Product: ""%1"" reviewed by: %2","Product: ""%1"" reviewed by: %2"
"%1 - Discounts and Coupons","%1 - Discounts and Coupons"
"%1 - Special Products","%1 - Special Products"
"Special Expires On: %1","Special Expires On: %1"
"Price: %1","Price: %1"
"Special Price: %1","Special Price: %1"
"Special Products","Produits spéciaux"
Coupons/Discounts,Coupons/promotions
"New Orders","Nouvelles commandes"
"Order #%1 created at %2","Order #%1 created at %2"
"Order # %1 Notification(s)","Order # %1 Notification(s)"
"Details for %1 #%2","Details for %1 #%2"
"Notified Date: %1<br/>","Notified Date: %1<br/>"
"Comment: %1<br/>","Comment: %1<br/>"
"Current Status: %1<br/>","Current Status: %1<br/>"
"Total: %1<br/>","Total: %1<br/>"
"%1's Wishlist","%1's Wishlist"
Comment:,Comment:
"We cannot retrieve the wish list.","We cannot retrieve the wish list."
"There was no RSS feed enabled.","There was no RSS feed enabled."
"Error in processing xml. %1","Error in processing xml. %1"
"Subscribe to RSS Feed","Subscribe to RSS Feed"
"Miscellaneous Feeds","Flux divers"
"Get Feed","Obtenir le flux"
"Category Feeds","Flux de catégorie"
"There are no Rss Feeds.","There are no Rss Feeds."
"Customer Name: %1","Customer Name: %1"
"Purchased From: %1","Purchased From: %1"
"Discount (%1)","Discount (%1)"
"Shipping &amp; Handling","Expédition &amp; Traitement"
"RSS Feeds","Flux RSS"
"Rss Config","Rss Config"
"Enable RSS","Enable RSS"
"Top Level Category","Top Level Category"
"Customer Order Status Notification","Customer Order Status Notification"
