"%s %s cycle.","Cycle %s %s."
"--Please Select--","--Veuillez sélectionner--"
"3D Secure Card Validation","Validation de la carte par 3D Secure"
"3D Secure Credit Card Validation","Validation de la carte de crédit par 3D Secure"
"<label>Make Check payable to:</label> %s","<label>Rendre le chèque payable à :</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Une valeur est requise pour le mode en direct. Référez-vous à votre contrat CardinalCommerce."
"Allow Initial Fee Failure","Autoriser un échec des frais initiaux."
"An internal reference ID is required to save the payment profile.","Un ID de référence interne est requis pour enregistrer le profil de paiement."
"Authorize action is not available.","L'action autoriser n'est pas disponible."
"Auto Bill on Next Cycle","Facturer automatiquement lors du prochain cycle."
"Automatically Invoice All Items","Facturer automatiquement tous les objets."
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Facturer automatiquement le montant restant dans le cycle suivant (si des paiements ont échoué)"
"Billing Agreement status is not set.","Le statut du contrat de facturation n'est pas réglé."
"Billing Amount","Montant de la facturation."
"Billing Frequency","Fréquence de facturation."
"Billing Period","Période de facturation."
"Billing Period Unit","Unité de période de facturation."
"Billing period unit is not defined or wrong.","L'unité de période de facturation n'est pas définie ou est fausse."
"Cannot retrieve payment method instance.","Impossible de récupérer l'instance de méthode de paiement."
"Cannot retrieve the payment info model object.","Impossible de récupérer l'objet modèle d'informations de paiement."
"Cannot retrieve the payment information object instance.","Impossible de récupérer les informations de paiement."
"Cannot retrieve the payment method code.","Impossible de récupérer le code de la méthode de paiement."
"Cannot retrieve the payment method model object.","Impossible de récupérer l'objet modèle de méthode de paiement."
"Capture action is not available.","L'action capturer n'est pas disponible."
"Card Verification Number","Numéro de vérification de carte."
"Centinel API URL","URL de l'API Centinel"
"Check / Money Order","Chèque / Mandat"
"Credit Card Number","Numéro de carte de crédit"
"Credit Card Type","Type de carte de crédit"
"Credit Card Types","Types de cartes de crédit"
"Credit card number mismatch with credit card type.","Le numéro de carte de crédit ne correspond pas au type de carte."
"Credit card type is not allowed for this payment method.","Ce type de carte de crédit n'est pas autorisé pour cette méthode de paiement."
"Currency","Monnaie"
"Currency code is undefined.","Le code pays n'est pas défini."
