Back,返回
Price,价格
SKU,SKU
Qty,Qty
"Excl. Tax",不含税
Total,Total
"Incl. Tax",含税
"Total incl. tax","Total incl. tax"
"Move to Wishlist","Move to Wishlist"
File,文件
"Edit item parameters",编辑项目参数
Edit,编辑
"Remove item","Remove item"
"All Files","All Files"
[GLOBAL],[GLOBAL]
"[STORE VIEW]","[STORE VIEW]"
Delete,删除
Status,状态
"Sort Order",排序顺序
Title,标题
"Browse Files...","Browse Files..."
"Use Default Value",使用默认值
Ordered,已下单
Invoiced,已出发票
Shipped,已发货
Refunded,已存储
Canceled,已取消
From:,来自：
To:,至：
Availability,Availability
"In stock",现货
"Out of stock",缺货
"Gift Message",礼品消息
Message:,信息：
"Add New Row",添加新行
"See price before order confirmation.",确认订单前显示价格。
"What's this?",这是什么？
"Unit Price Excl. Tax","Unit Price Excl. Tax"
"Unit Price Incl. Tax","Unit Price Incl. Tax"
"Subtotal Excl. Tax","Subtotal Excl. Tax"
"Subtotal Incl. Tax","Subtotal Incl. Tax"
"Order #","Order #"
Date,日期
"Upload Files","Upload Files"
"Downloadable Information",可下载的信息
Samples,Samples
Links,Links
Unlimited,无限
"Something went wrong while getting the requested content.","Something went wrong while getting the requested content."
"My Downloadable Products",我的可下载产品
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, there was an error getting requested content. Please contact the store owner."
"We can't find the link you requested.","We can't find the link you requested."
"Please log in to download your product or purchase <a href=""%1"">%2</a>.","Please log in to download your product or purchase <a href=""%1"">%2</a>."
"Please log in to download your product.",请登录以下载您的产品
"The link has expired.",该链接已过期。
"The link is not available.",该链接不可用。
"Please set resource file and link type.",请设置资源类型与链接类型。
"Invalid download link type.",无效的下载链接类型。
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"Order id cannot be null",订单编号不能为空
"Order item id cannot be null","订购物品 id 不能为空"
"Please specify product link(s).",请指定产品链接。
attachment,附件
inline,内联
Pending,挂起
sample,示例
"Links can be purchased separately",链接可单独购买
"Max. Downloads",最大下载数
Shareable,可分享
Sample,范例
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","建议对文件名使用字母、横线，以及下划线字符。错误的字符将被使用 '_'替换。"
U,U
"Go to <a href=""%1"">My Downloadable Products</a>","Go to <a href=""%1"">My Downloadable Products</a>"
"Downloadable Products","Downloadable Products"
"Remaining Downloads",剩余下载
"View Order",查看订单
"Start Download",开始下载
"You have not purchased any downloadable products yet.",您尚未购买任何可下载的产品。
download,下载
"Downloadable Product Options","Downloadable Product Options"
"Order Item Status to Enable Downloads","Order Item Status to Enable Downloads"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Default Sample Title","Default Sample Title"
"Default Link Title","Default Link Title"
"Open Links in New Window","Open Links in New Window"
"Use Content-Disposition","Use Content-Disposition"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disable Guest Checkout if Cart Contains Downloadable Items"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
