Back,Terug
Price,Prijs
SKU,SKU
Qty,Qty
"Excl. Tax","Excl. BTW"
Total,Total
"Incl. Tax","Incl. BTW"
"Total incl. tax","Total incl. tax"
"Move to Wishlist","Move to Wishlist"
File,Bestand
"Edit item parameters","Parameters van artikel bewerken"
Edit,Bewerken
"Remove item","Remove item"
"All Files","All Files"
[GLOBAL],[GLOBAL]
"[STORE VIEW]","[STORE VIEW]"
Delete,Verwijderen
Status,Status
"Sort Order","Sorteer Bestelling"
Title,Titel
"Browse Files...","Browse Files..."
"Use Default Value","Standaardwaarde gebruiken"
Ordered,Besteld
Invoiced,Gefactureerd
Shipped,Verzonden
Refunded,Terugbetaald
Canceled,Geannuleerd
From:,Van:
To:,Aan:
Availability,Availability
"In stock","In voorraad"
"Out of stock","Uit voorraad"
"Gift Message",Cadeauboodschap
Message:,Bericht:
"Add New Row","Voeg Nieuwe Rij Toe"
"See price before order confirmation.","Zie prijs voor bevestiging van bestelling."
"What's this?","Wat is dit?"
"Unit Price Excl. Tax","Unit Price Excl. Tax"
"Unit Price Incl. Tax","Unit Price Incl. Tax"
"Subtotal Excl. Tax","Subtotal Excl. Tax"
"Subtotal Incl. Tax","Subtotal Incl. Tax"
"Order #","Order #"
Date,Datum
"Upload Files","Upload Files"
"Downloadable Information","Downloadbare informatie"
Samples,Samples
Links,Links
Unlimited,Onbeperkt
"Something went wrong while getting the requested content.","Something went wrong while getting the requested content."
"My Downloadable Products","Mijn Downloadbare Producten"
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, there was an error getting requested content. Please contact the store owner."
"We can't find the link you requested.","We can't find the link you requested."
"Please log in to download your product or purchase <a href=""%1"">%2</a>.","Please log in to download your product or purchase <a href=""%1"">%2</a>."
"Please log in to download your product.","Log in om uw product te downloaden."
"The link has expired.","De link is verlopen."
"The link is not available.","De link is niet beschikbaar."
"Please set resource file and link type.","Bepaal hulpbronnenbestand en link type."
"Invalid download link type.","Ongeldig download link type."
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"Order id cannot be null","Bestel id kan geen nul zijn"
"Order item id cannot be null","Bestel artikel kan geen nul zijn"
"Please specify product link(s).","Specificeer productlink(s)."
attachment,bijlage
inline,inline
Pending,"In afwachting"
sample,specimen
"Links can be purchased separately","Links kunnen separaat gekocht worden"
"Max. Downloads","Max. Downloads"
Shareable,Deelbaar
Sample,Monster
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanumerieke, schuine streep en onderstreepte lettertekens worden aangeraden voor bestandsnamen. Ongeschikte lettertekens worden vervangen met '_'."
U,U
"Go to <a href=""%1"">My Downloadable Products</a>","Go to <a href=""%1"">My Downloadable Products</a>"
"Downloadable Products","Downloadable Products"
"Remaining Downloads","Resterende downloads"
"View Order","Bestelling bekijken"
"Start Download","Start download"
"You have not purchased any downloadable products yet.","U heeft nog geen downloadbare artikelen aangeschafd."
download,download
"Downloadable Product Options","Downloadable Product Options"
"Order Item Status to Enable Downloads","Order Item Status to Enable Downloads"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Default Sample Title","Default Sample Title"
"Default Link Title","Default Link Title"
"Open Links in New Window","Open Links in New Window"
"Use Content-Disposition","Use Content-Disposition"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disable Guest Checkout if Cart Contains Downloadable Items"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
