"%s and greater","%s e maior"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> foram encontrados utilizando os seguintes critérios de pesquisa"
"Advanced Search","Pesquisa Avançada"
"Advanced Search Form","Formulário de Pesquisa Avançada"
"Advanced Search Result","Resultado de Pesquisa Avançada"
"All","Todos"
"Applies for ""Like"" search type only.","Aplica-se apenas para o tipo de pesquisa ""Como""."
"Apply Layered Navigation if Search Results are Less Than","Aplicar Navegação em Camada se Resultados da Pesquisa são Menos Que"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Alterar a definição de atributos relacionados com o Índice de Pesquisa. Por favor execute o processo <a href=""%s"">Reconstruir Índice de Pesquisa</a>."
"Autogenerated Site Map","Mapa do Site Autogerado"
"Catalog Advanced Search","Pesquisa Avançada do Catálogo"
"Catalog Search","Busca de Catálogo"
"Catalog Search Index","Índice de Pesquisa do Catálogo"
"Don't see what you're looking for?","Não vê o que você está procurando?"
"Enter ""0"" to enable layered navigation for any number of results.","Insira ""0"" para permitir a navegação em camadas para qualquer número de resultados."
"Go to Home Page","Ir para Página Inicial"
"Grid","Grade"
"Home","Início"
"List","Lista"
"Maximum Query Length","Comprimento Máximo de Consulta"
"Maximum Query Words Count","Contagem Máxima de Palavras de Consulta"
"Maximum Search query  length is %s. Your query was cut.","Comprimento máximo de Pesquisa de consulta é %s. Sua consulta foi cortada."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","A contagem máxima de palavras é %1$s. Na sua busca a próxima parte foi cortada: %2$s."
"Minimal Query Length","Comprimento Minímo de Consulta"
"Minimum Search query length is %s","Comprimento minímo de Pesquisa de consulta é %s."
"Modify your search","Modifique sua pesquisa"
"No","Não"
"No items were found using the following search criteria.","Nenhum item foi encontrado utilizando o seguinte critério de pesquisa."
"Please specify at least one search term.","Especifique ao menos um termo de pesquisa."
"Popular Search Terms","Termos populares de pesquisa"
"Quick Search Form","Formulário de pesquisa rápida"
"Rebuild Catalog product fulltext search index","Reconstruir índice de pesquisa de texto completo de produto do catálogo"
"Relevance","Relevância"
"Results","Resultados"
"Search","Pesquisa"
"Search Settings","Opções de pesquisa"
"Search Terms","Buscar Termos"
"Search Type","Tipo de pesquisa"
"Search entire store here...","Pesquise toda a loja aqui..."
"Search results for '%s'","Pesquisar resultados para ""%s"""
"Search results for: '%s'","Pesquisar resultados para: ""%s"""
"Search:","Pesquisa:"
"Specified date is invalid.","A data especificada é inválida."
"Subscribe to Feed","Endossar Feed"
"There are no search terms available.","Não há termos de pesquisa disponíveis."
"Yes","Sim"
"Your search returns no results.","Sua busca não retornou resultados."
"up to %s","até %s"
