"Start Time","Tiempo de inicio."
Frequency,Frecuencia
"Error Email Recipient","Error en el destinatario del mensaje"
"Error Email Sender","Error en el remitente del mensaje"
"Error Email Template","Error en la plantilla del mensaje"
"Log Cleaning","Limpieza de registros"
"Save Log, Days","Guardar registro (días)"
"Enable Log Cleaning","Activar limpieza de registros"
Online,Conectado
"Customers Now Online","Customers Now Online"
"Online Customers","Clientes conectados"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
