"Start Time",Begintijd
Frequency,Frequentie
"Error Email Recipient","Foutmelding Email Ontvanger"
"Error Email Sender","Foutmelding Email Verstuurder"
"Error Email Template","Foutmelding Email Template"
"Log Cleaning","Log aan het schonen"
"Save Log, Days","Log opslaan, dagen"
"Enable Log Cleaning","Schonen van log toestaan"
Online,Online
"Customers Now Online","Customers Now Online"
"Online Customers","Online Klanten"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
