"Start Time","Tempo de Início"
Frequency,Freqüência
"Error Email Recipient","Erro de Destinatário de Email"
"Error Email Sender","Erro de Remetente de Email"
"Error Email Template","Erro de Template de Email"
"Log Cleaning","Limpeza de Registro"
"Save Log, Days","Salvar Registro, Dias"
"Enable Log Cleaning","Ativar Limpeza de Registro"
Online,Online
"Customers Now Online","Customers Now Online"
"Online Customers","Clientes Conectados"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"

