"Start Time","Heure de début"
Frequency,Fréquence
"Error Email Recipient","Erreur dans le destinataire du mail"
"Error Email Sender","Erreur dans l'expéditeur du mail"
"Error Email Template","Erreur dans le modèle du mail"
"Log Cleaning","Effacement des logs"
"Save Log, Days","Enregistrer logs, jours"
"Enable Log Cleaning","Activer l'effacement des logs"
Online,"En ligne"
"Customers Now Online","Customers Now Online"
"Online Customers","Utilisateurs en ligne"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
