"Start Time",Startzeit
Frequency,Frequenz
"Error Email Recipient","Email-Empfänger bei auftretenden Fehlern"
"Error Email Sender","Email-Absender bei auftretenden Fehlern"
"Error Email Template","Email-Vorlage bei auftretenden Fehlern"
"Log Cleaning","Aufräumen des Verlaufs"
"Save Log, Days","Speichere Verlauf, Tage"
"Enable Log Cleaning","Aufräumen des Verlaufs anschalten"
Online,Online
"Customers Now Online","Customers Now Online"
"Online Customers",Online-Kunden
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
