"Actions","Aktionen"
"An error occurred while marking notification as read.","Fehler beim Markieren des Hinweises als 'gelesen'."
"An error occurred while marking the messages as read.","Fehler beim Markieren der Nachrichten als 'gelesen'."
"An error occurred while removing messages.","Fehler beim Entfernen der Nachrichten."
"An error occurred while removing the message.","Fehler beim Entfernen der Nachricht."
"Are you sure?","Sind Sie sicher?"
"Date Added","Hinzugefügt am"
"Last Update","Letzte Aktualisierung"
"Mark as Read","Als 'gelesen' markieren"
"Mark as read","Als gelesen markieren"
"Message","Nachricht"
"Messages Inbox","Posteingang"
"Notifications","Hinweise"
"Please select messages.","Bitte Nachrichten auswählen."
"Read Details","Details anzeigen"
"Remove","Entfernen"
"Severity","Wichtigkeit"
"Show List","Liste anzeigen"
"Show Toolbar","Werkzeugleiste anzeigen"
"The message has been marked as read.","Die Nachricht wurde als 'gelesen' markiert."
"The message has been removed.","Die Nachricht wurde entfernt."
"Total of %d record(s) have been marked as read.","Insgesamt %d Einträge wurden als 'gelesen' markiert."
"Total of %d record(s) have been removed.","Insgesamt %d Einträge wurden gelöscht."
"Unable to proceed. Please, try again.","Vorgang konnte nicht ausgeführt werden. Bitte versuchen Sie es später noch einmal."
"Update Frequency","Aktualisierungshäufigkeit"
"Use HTTPS to Get Feed","Benutzen Sie HTTPS um Nachrichten abzurufen"
"critical","kritisch"
"major","wichtig"
"minor","unwichtig"
"notice","Hinweis"
