Email,"Correo electrónico"
Name,Nombre
Submit,Enviar
"* Required Fields","* Campos Requeridos"
Telephone,Telephone
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Thanks for contacting us with your comments and questions. We'll respond to you very soon."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Contact Information","Información de Contacto"
Comment,Comentario
"Email Template","Email Template"
Contacts,Contacts
"Contact Us",Contáctenos
"Enable Contact Us","Enable Contact Us"
"Email Options","Email Options"
"Send Emails To","Send Emails To"
"Email Sender","Email Sender"
