Email,E-mail
Name,Nome
Submit,Enviar
"* Required Fields","* Campos obrigatórios"
Telephone,Telephone
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Thanks for contacting us with your comments and questions. We'll respond to you very soon."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Contact Information","Informações de contato"
Comment,Comentário
"Email Template","Email Template"
Contacts,Contacts
"Contact Us",Contate-nos
"Enable Contact Us","Enable Contact Us"
"Email Options","Email Options"
"Send Emails To","Send Emails To"
"Email Sender","Email Sender"
