"All Websites","Todos los Sitios Web"
"Apply Discounts To FPT","Aplicar descuento a FPT"
"Apply Tax To FPT","Aplicar impuestos a FPT"
"Display Prices In Emails","Mostrar precios en el correo electrónico"
"Display Prices In Product Lists","Mostrar precios en la lista de productos"
"Display Prices In Sales Modules","Mostrar precios en los módulos de ventas"
"Display Prices On Product View Page","Mostrar precios en la página de vista preliminar del producto"
"Enable FPT","Activar FPT"
"Excluding FPT","FPT no incluido"
"Excluding FPT, FPT description, final price","Excluido FPT, descripción FPT, precio final"
"Fixed Product Tax","Impuesto fijo del producto"
"Fixed Product Taxes","Impuesto fijo del producto"
"Include FPT In Subtotal","Inlcuir impuestos en el subtotal"
"Including FPT and FPT description","Inlcuir impuestos y descripción de los impuestos"
"Including FPT and FPT description [incl. FPT VAT]","Inlcuir impuestos y descripción de los impuestos [incl.IVA]"
"Including FPT only","Incluir sólo FPT"
"Total","Total"
"Total Incl. Tax","Total con impuestos incluidos"
"Total incl. tax","Total con impuestos incluidos"
