"-OR-","-O-"
"2-pixel perimeter around the header space.","Perímetro de 2 píxeles alrededor del espacio de cabera."
"3D Secure","3D Seguro"
"3D Secure Card Validation","Validación segura 3D de tarjeta"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Para tarjetas Maestro se requiere validación 3D Secure. Para aceptar tarjetas American Express se requiere un acuerdo adicional. Obtenga más información en <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">¡Empiece a aceptar pagos a través de PayPal!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Se necesita un valor para el modo en vivo. Consulte el acuerdo de comercio cardinal."
"ACH Deposit (Hold for Dispute or Other Investigation)","Depósito ACH (En Espera por Conflicto u Otra Investigación)"
"ACH Deposit (Reversal)","Depósito ACH (Revocación)"
"ACH Funding for Funds Recovery from Account Balance","Financiación ACH para Recuperación de Fondos desde el Balance de Cuenta"
"ACH Withdrawal","Retirada ACH"
"API Authentication Methods","Métodos de autenticación API"
"API Certificate","Certificdo API"
"API Password","Contraseña API"
"API Signature","Firma API"
"API Username","Nombre de Usuario API"
"API Uses Proxy","Proxy de Usos API"
"API/Integration","Api/Integración"
"API/Integration Settings","Api/Configuración de Integración"
"Ability for buyer to purchase without PayPal account.","Capacidad del comprador para comprar sin cuenta PayPal."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Aceptar pagos PayPal en tu carro de la compra. PayPal procesará tus pagos de tarjeta de crédito a través del Gateway Payflow Pro"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.  Includes a merchant account from PayPal.","Aceptar pagos conformes a la norma PCI de verificación que mantiene a los clientes en tu sitio web. Incluye una cuenta comercial de PayPal."
"Accept payments with a PCI-compliant checkout that keeps customers on your site. For use with your own merchant account.","Aceptar pagos conformes a la norma PCI de verificación que mantiene a los clientes en tu sitio web. Para usarlo con tu propia cuenta comercial."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Aceptar pagos sin que los clientes abandonen tu página web. Muchos servicios populares de web-hosting y carros de la compra vienen con los gateways de pago Payflow incluidos, de manera que sean fáciles de configurar."
"Acceptance Mark","Señal de Aceptación"
"Acceptance Mark Image","Imagen de Señal de Aceptación"
"Account-to-Account Payment, initiated by PayPal","Pago Cuenta-a-Cuenta, iniciado por PayPal"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Añadir un botón de Pago Express a tu carro de la compra ya existente para pagos con tarjeta de crédito rápidos y sencillos. PayPal gestiona todo el proceso de pago."
"Additional Options","Opciones Adicionales"
"Address","Dirección"
"Address Verification System Response","Respuesta del Sistema de Verificación de Dirección"
"All the address information matched","Coincide toda la información de dirección"
"Allow in Billing Agreement Wizard","Permitir el Asistente de Acuerdo de Facturación"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valores admitidos: ""paypal"", ""primary"" (por defecto), su_valor_customizado (estílo de página de pago customizado de su perfil de cuenta comercial)."
"Allowed Credit Card Types","Tipos de Tarjetas de Crédito Permitidos"
"Also affects mini-shopping cart.","También afecta al mini-carro de la compra."
"Ask Customer","Preguntar al Cliente"
"Attempted Authentication, Bad Result","Intento de Autenticación, Resultado Incorrecto"
"Attempted Authentication, Good Result","Intento de Autenticación, Resultado Correcto"
"Auction Payment other than through eBay","Pago por Subasta diferente de eBay"
"Authenticated, Bad Result","Autenticación, Resultado Incorrecto"
"Authenticated, Good Result","Autenticación, Resultado Correcto"
"Authorization","Autorización"
"Authorization Honor Period (days)","Período de autorización (días)"
"Authorization expired.","Autorización caducada."
"Authorization transaction is required to void.","Para anular se requiere la transacción de autorización."
"Authorization was voided by merchant.","El vendedor ha anulado la autorización."
"Authorized amount of %s.","Cantidad autorizada de %s."
"Authorizing amount of %s is pending approval on gateway.","La cantidad autorizada de %s está a la espera de ser aprobada en la pasarela de pago."
"Auto","Auto"
"AutoSweep","AutoBarrido"
"Available Balance","Balance Disponible"
"Balance Manager Account Bonus","Bono de Cuenta de Gestor de Balance"
"Billing Address","Dirección de facturación"
"Billing Agreement Signup ","Firma de Acuerdo de Facturación"
"Bonus for first ACH Use","Bono por el primer Uso de ACH"
