Cancel,Abbrechen
Back,Zurück
ID,ID
Action,Aktion
Reset,Zurücksetzen
Customer,Kunde
Guest,Gast
Email,E-Mail
Delete,Löschen
Store,Shop
"Web Site","Web Site"
Status,Status
"Store View",Store-Ansicht
Type,Typ
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Total of %1 record(s) were deleted","Total of %1 record(s) were deleted"
Preview,Vorschau
Subject,Betreff
Sent,Gesendet
"Not Sent","Nicht gesendet"
Sending,"Wird gesendet"
Paused,Pausiert
Newsletter,Newsletter
Updated,Updated
"Newsletter Subscription","Newsletter abonnieren"
"Add New Template","Neues Template hinzufügen"
"Delete Template","Template löschen"
"Convert to Plain Text","In einfachen Text umwandeln"
"Preview Template","Vorschau der Vorlage"
"Save Template","Vorlage speichern"
"Template Information",Vorlagen-Information
"Template Name","Name der Vorlage"
"Template Subject",Vorlagen-Betreff
"Template Content",Vorlagen-Inhalt
"Template Styles",Vorlagenstile
"Edit Template","Template bearbeiten"
"New Template","Neue Vorlage"
Template,Template
"Are you sure that you want to delete this template?","Sind Sie sicher, dass Sie diese Vorlage löschen möchten?"
"Sender Name","Absender Name"
"Sender Email","Absender E-Mail"
Message,Nachricht
Recipients,Empfänger
"Please enter a valid email address.","Bitte geben Sie eine gültige E-Mail Adresse ein"
"Delete Selected Problems","Ausgewählte Probleme löschen"
"Unsubscribe Selected","""Abonnement beenden"" ausgewählt"
"Save Newsletter","Newsletter speichern"
"Save and Resume","Speichern und fortfahren"
"View Newsletter","Newsletter ansehen"
"Edit Newsletter","Newsletter bearbeiten"
"Queue Information","Warteschlange Informationen"
"Queue Date Start","Queue Date Start"
"Subscribers From","Abonennten aus"
"Newsletter Styles",Newsletterstile
Start,Start
Pause,Pause
"Do you really want to cancel the queue?","Wollen Sie wirklich die Warteschlange abbrechen?"
Resume,Fortfahren
"Newsletter Templates","Newsletter Vorlagen"
"Return HTML Version","HTML Version zurückholen"
"Save As","Speichern unter"
"Edit Newsletter Template","Newsletter-Template bearbeiten"
"New Newsletter Template","Neue Newsletter Vorlage"
"No Templates Found","Keine Vorlagen gefunden"
Added,Added
Sender,Absender
"Template Type",Vorlagentyp
"Queue Newsletter...","Warteschlange Newsletter..."
"Newsletter Problems Report","Newsletter Problems Report"
"Newsletter Problem Reports","Newsletter Problembericht"
"We unsubscribed the people you identified.","We unsubscribed the people you identified."
"The problems you identified have been deleted.","The problems you identified have been deleted."
"Newsletter Queue","Newsletter Warteschlange"
"Edit Queue","Warteschlange bearbeiten"
"Please correct the newsletter template and try again.","Please correct the newsletter template and try again."
"The newsletter queue has been saved.","The newsletter queue has been saved."
