Cancel,Annuler
Back,Retour
ID,ID
Action,Action
Reset,Réinitialiser
Customer,Client
Guest,Invité
Email,Email
Delete,Supprimer
Store,Magasin
"Web Site","Web Site"
Status,Statut
"Store View","Vue du magasin"
Type,Type
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Total of %1 record(s) were deleted","Total of %1 record(s) were deleted"
Preview,Prévisualisation
Subject,Sujet
Sent,Envoyé
"Not Sent","Non envoyé"
Sending,Envoi
Paused,"En pause"
Newsletter,Newsletter
Updated,Updated
"Newsletter Subscription","Abonnement à la newsletter"
"Add New Template","Ajouter un nouveau modèle"
"Delete Template","Supprimer le modèle"
"Convert to Plain Text","Convertir en texte intégral"
"Preview Template","Voir un aperçu du modèle"
"Save Template","Enregistrer le modèle"
"Template Information","Information du modèle"
"Template Name","Nom du formulaire"
"Template Subject","Sujet du modèle"
"Template Content","Contenu du modèle"
"Template Styles","Styles de modèle"
"Edit Template","Modifier le modèle"
"New Template","Nouveau modèle"
Template,Template
"Are you sure that you want to delete this template?","Voulez-vous vraiment supprimer ce modèle ?"
"Sender Name","Nom de l'expéditeur"
"Sender Email","Expéditeur de l'e-mail"
Message,Message
Recipients,Destinataires
"Please enter a valid email address.","Veuillez entrer une adresse e-mail valide."
"Delete Selected Problems","Supprimer les problèmes sélectionnés."
"Unsubscribe Selected","Désabonnement sélectionné"
"Save Newsletter","Enregistrer la newsletter"
"Save and Resume","Enregistrer et reprendre"
"View Newsletter","Voir la newsletter"
"Edit Newsletter","Modifier la newsletter"
"Queue Information","Information sur la file d'attente"
"Queue Date Start","Queue Date Start"
"Subscribers From","Abonnés de"
"Newsletter Styles","Styles de newsletter"
Start,Début
Pause,Pause
"Do you really want to cancel the queue?","Voulez-vous vraiment effacer la fille d'attente ?"
Resume,Reprendre
"Newsletter Templates","Modèles de newsletter"
"Return HTML Version","Renvoyer la version HTML"
"Save As","Enregistrer sous"
"Edit Newsletter Template","Modifier le modèle de la newsletter"
"New Newsletter Template","Nouveau modèle de newsletter"
"No Templates Found","Aucun modèle trouvé"
Added,Added
Sender,Expéditeur
"Template Type","Type de modèle"
"Queue Newsletter...","File d'attente de la newsletter..."
"Newsletter Problems Report","Newsletter Problems Report"
"Newsletter Problem Reports","Rapport des problèmes de la newsletter"
"We unsubscribed the people you identified.","We unsubscribed the people you identified."
"The problems you identified have been deleted.","The problems you identified have been deleted."
"Newsletter Queue","Fille d'attente de la newsletter"
"Edit Queue","Modifier la file d'attente"
"Please correct the newsletter template and try again.","Please correct the newsletter template and try again."
"The newsletter queue has been saved.","The newsletter queue has been saved."
"Newsletter Subscribers","Abonnés à la newsletter"
Subscribers,Abonnés
"Please select one or more subscribers.","Please select one or more subscribers."
"Create Newsletter Template","Créer un modèle de newsletter"
"The newsletter template has been saved.","The newsletter template has been saved."
"An error occurred while saving this template.","An error occurred while saving this template."
"The newsletter template has been deleted.","The newsletter template has been deleted."
"An error occurred while deleting this template.","An error occurred while deleting this template."
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
