Cancel,Cancelar
Back,Volver
ID,ID
Action,Acción
Reset,Restablecer
Customer,Cliente
Guest,Invitado
Email,"Correo electrónico"
Delete,Eliminar
Store,Tienda
"Web Site","Web Site"
Status,Estado
"Store View","Ver Tienda"
Type,Tipo
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Total of %1 record(s) were deleted","Total of %1 record(s) were deleted"
Preview,"Vista Previa"
Subject,Asunto
Sent,Enviada
"Not Sent","No enviado"
Sending,Enviando
Paused,"En pausa"
Newsletter,"Boletín informativo"
Updated,Updated
"Newsletter Subscription","Suscripción al boletín de noticias"
"Add New Template","Agregar nueva plantilla"
"Delete Template","Eliminar plantilla"
"Convert to Plain Text","Convertir a texto sin formato"
"Preview Template","Vista previa de plantilla"
"Save Template","Guardar Plantilla"
"Template Information","Información de la plantilla"
"Template Name","Nombre de Plantilla"
"Template Subject","Tema de la plantilla"
"Template Content","Contenido de la plantilla"
"Template Styles","Estilos de Plantilla"
"Edit Template","Editar plantilla"
"New Template","Nueva Plantilla"
Template,Template
"Are you sure that you want to delete this template?","¿Está seguro de que quiere borrar esta plantilla?"
"Sender Name","Nombre del Remitente"
"Sender Email","E-mail del Remitente"
Message,Mensaje
Recipients,Destinatarios
"Please enter a valid email address.","Introduzca una dirección de correo electrónico válida."
"Delete Selected Problems","Eliminar problemas seleccionados"
"Unsubscribe Selected","Cancelar Suscripción Seleccionado"
"Save Newsletter","Guardar Boletín de Noticias"
"Save and Resume","Guardar y Reanudar"
"View Newsletter","Ver boletín de noticias"
"Edit Newsletter","Editar boletín informativo"
"Queue Information","Información de Cola"
"Queue Date Start","Queue Date Start"
"Subscribers From","Suscriptores De"
"Newsletter Styles","Estilos del Boletín de Noticias"
Start,Comenzar
Pause,Pausa
"Do you really want to cancel the queue?","¿Realmente desea cancelar la cola?"
Resume,Reanudar
"Newsletter Templates","Plantillas de Boletín de Noticias"
"Return HTML Version","Devolver Versión HTML"
"Save As","Guardar Como"
"Edit Newsletter Template","Editar plantilla de boletín informativo"
"New Newsletter Template","Plantilla de Boletín de Noticias Nueva"
"No Templates Found","No se Encontraron Plantillas"
Added,Added
Sender,Remitente
"Template Type","Tipo de Plantilla"
"Queue Newsletter...","Boletín de Noticias en Cola..."
"Newsletter Problems Report","Newsletter Problems Report"
"Newsletter Problem Reports","Informe de Problemas del Boletín de Noticias"
"We unsubscribed the people you identified.","We unsubscribed the people you identified."
"The problems you identified have been deleted.","The problems you identified have been deleted."
"Newsletter Queue","Cola de Boletín de Noticias"
"Edit Queue","Editar cola"
"Please correct the newsletter template and try again.","Please correct the newsletter template and try again."
"The newsletter queue has been saved.","The newsletter queue has been saved."
"Newsletter Subscribers","Suscriptores de Boletín de Noticias"
Subscribers,Suscriptores
"Please select one or more subscribers.","Please select one or more subscribers."
"Create Newsletter Template","Crear plantilla de boletín informativo"
"The newsletter template has been saved.","The newsletter template has been saved."
"An error occurred while saving this template.","An error occurred while saving this template."
"The newsletter template has been deleted.","The newsletter template has been deleted."
"An error occurred while deleting this template.","An error occurred while deleting this template."
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Gracias por su suscripción."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"Your subscription has been confirmed.","Su suscripción ha sido confirmada."
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"You have been unsubscribed.","Ha cancelado su subscripción."
"Something went wrong with the un-subscription.","Something went wrong with the un-subscription."
"This email address is already assigned to another user.","Esta dirección de correo ya se asignó a otro usuario."
"Sorry, but the administrator denied subscription for guests. ' 'Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. ' 'Please <a href=""%1"">register</a>."
Cancelled,Cancelado
"There are no subscribers selected.","There are no subscribers selected."
"You selected an invalid queue.","You selected an invalid queue."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplicate template code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  -->' '<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}' '</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  -->' '<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}' '</a>"
"Choose Store View:","Choose Store View:"
"Newsletter Message Preview","Vista Previa del Mensaje del Boletín de Noticias"
"Add to Queue","Agregar a la cola"
"Are you sure that you want to strip all tags?","¿Está seguro de que desea eliminar todas las etiquetas?"
"Please enter new template name.","Please enter new template name."
" Copy",Copiar
"Sign Up for Our Newsletter:","Suscríbase a Nuestro Boletín de Noticias:"
"Enter your email address","Enter your email address"
Subscribe,Suscribirse
CSV,CSV
"Excel XML","Excel XML"
"Subscription Options","Subscription Options"
"Allow Guest Subscription","Allow Guest Subscription"
"Need to Confirm","Need to Confirm"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"We found no problems.","We found no problems."
Subscriber,Suscriptor
"Queue Start Date","Fecha de Inicio de la Cola"
"Queue Subject","Asunto de Cola"
"Error Code","Código de error"
"Error Text","Texto de error"
"Queue Start","Inicio de Cola"
"Queue End","Final de Cola"
Processed,Procesado
Unsubscribe,"Cancelar suscripción"
"Customer First Name","Nombre del cliente"
"Customer Last Name","Apellido del cliente"
"Not Activated","No Activado"
Subscribed,Suscrito
Unsubscribed,"Suscripción cancelada"
Unconfirmed,"Sin confirmar"
