"* Required Fields","* Campos obligatorios"
"-- Select --","-- Seleccionar --"
"Add New Option","Añadir Nueva Opción"
"Add Selection","Añadir Selección"
"As Low as","Tan bajo como"
"As low as","Tan bajo como"
"Bundle Items","Grupo de Artículos"
"Bundle Product","Grupo de Productos"
"Buy %1$s with %2$s discount each","Compra %1$s con %2$s de descuento cada uno"
"Catalog Product View (Bundle)","Ver Producto Catálogo (Grupo)"
"Checkbox","Casilla de verificación"
"Choose a selection...","Elegir una selección..."
"Close","Cerrar"
"Default","Predeterminada"
"Default Qty","Cantidad por Defecto"
"Default Title","Título por Defecto"
"Drop-down","Desplegable"
"Dynamic","Dinámico"
"Excl. Tax","Impuestos no incluidos"
"Fixed","Fijo"
"From","De"
"From:","Desde:"
"Gift Message","Mensaje de Regalo"
"Incl. Tax","Impuestos incluidos"
"Input Type","Introducir tipo"
"Is Required","Es Requerido"
"Message:","Mensaje:"
"Multiple Select","Elección múltiple"
"N/A","N/A"
"No options of this product are available.","No hay opciones disponibles de este producto"
"None","Nada"
"Percent","Porcentaje"
"Percent Discount","Descuento porcentaje"
"Please Select Products to Add","Por favor, Selecciona Productos a Añadir"
"Please enter search conditions to view products.","Por favor, indica las condiciones de búsqueda para ver productos."
"Please select options for product.","Por favor, selecciona opciones para el producto"
"Please specify product option(s).","Por favor, especifica opción(es) del producto"
"Position","Posición"
"Price Range","Rango de Precio"
"Price Type","Tipo de Precio"
"Price as configured","Precio según configuración"
"Qty:","Cantidad:"
"Radio Buttons","Botón de Radio"
"Required options are not selected.","No se han seleccionado las opciones requeridas."
"Selected required options are not available.","Las opciones requeridas seleccionadas no están disponibles."
"Separately","Separadamente"
"Ship Bundle Items","Enviar Artículos en Grupo"
"Shipment","Envío"
"Store View Title","Título de Vista de Tienda"
"There is no defined renderer for ""%s"" option type.","No hay un visualizador definido para el tipo de opción ""%s""."
"This product is also part of bundle(s)","Este producto es también parte de un(os) paquete(s)"
"To","Para"
"To:","A:"
"Together","Juntos"
"Use Default Value","Usar Valor por Defecto"
"User Defined Qty","Cantidad Definida por el Usuario"
