"-OR-","-OF-"
"2-pixel perimeter around the header space.","2-pixel omtrek om de top ruimte."
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","3D Secure validatie is vereist voor Maestro kaarten. Ondersteuning van American Express kaarten vereisen extra overeenkomst. Kijk ook op <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Accepteer betalingen via PayPal!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Een waarde is gevraagd voor live modus. Verwijs naar uw CardinalCommerce overeenkomst."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Storting (Wordt gehouden ingeval van dispuut of een ander onderzoek)"
"ACH Deposit (Reversal)","ACH Storting (Herroeping)"
"ACH Funding for Funds Recovery from Account Balance","ACH Financiering voor fondsen herstel op het account balans"
"ACH Withdrawal","ACH Opname"
"API Authentication Methods","API Verificatie Methoden"
"API Certificate","API Certificaat"
"API Password","API Wachtwoord"
"API Signature","API Handtekening"
"API Username","API Gebruikersnaam"
"API Uses Proxy","API Gebruikt Proxy"
"API/Integration","API/Integratie"
"API/Integration Settings","API/Integratie Instellingen"
"Ability for buyer to purchase without PayPal account.","Mogelijkheid voor de koper om te kopen zonder PayPal account."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Accepteer PayPal betalingen in uw winkelwagen. PayPal zal uw creditkaart betalingen behandelen door de Payflow Pro Poort."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.  Includes a merchant account from PayPal.","Accepteer betalingen met een PCI-compatibele kassa zodat de klanten op uw site blijven. Inclusief een merchant account van PayPal."
"Accept payments with a PCI-compliant checkout that keeps customers on your site. For use with your own merchant account.","Accepteer betalingen met een PCI-compatibele kassa zodat de klanen op uw site blijven. Voor gebruik met uw eigen merchant account."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Accepteer betalingen zonder dat uw klanten uw website verlaten. Veel populaire web-hosting diesnten en winkelwagens komen met het Payflow betaling systeem ingebouwd, zodat het makkelijk te gebruiken is."
"Acceptance Mark","Acceptatie Stempel"
"Acceptance Mark Image","Acceptatie Stempel Afbeelding"
"Account-to-Account Payment, initiated by PayPal","Account-naar-Account Betaling, gestart door PayPal"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Voeg een Express Checkout knop toe aan uw bestaande winkelwagen voor snelle en gemakkelijke creditcardbetalingen. PayPal zorgt voor de verwerking van alle betalingen.  "
"Additional Options","Meer Opties"
"Address","Adres"
"Address Verification System Response","Adres Verificatie Systeem Antwoord"
"All the address information matched","Al de adres komt overeen"
"Allow in Billing Agreement Wizard","Sta dit toe in de Facturatie-overeenkomst Wizard"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Toegestane waarden: ""paypal"", ""primary"" (systeemgekozen waarde), uw_gebruikelijke_waarde ( een gebruikelijke betalingspaginastijl van uw verkoop account profiel)."
"Allowed Credit Card Types","Toegestane Kredietkaarten Types"
"Also affects mini-shopping cart.","Heeft ook een effect op de mini-winkelwagen."
"Ask Customer","Vraag een Klant"
"Attempted Authentication, Bad Result","Poging tot Autorisatie, Slecht Resultaat"
"Attempted Authentication, Good Result","Poging tot Autorisatie, Goed Resultaat"
"Auction Payment other than through eBay","Veiling Betaling anders dan via eBay"
"Authenticated, Bad Result","Geverifieerd, Slecht Resultaat"
"Authenticated, Good Result","Geverifieerd, Goed Resultaat"
"Authorization","Autorisatie"
"Authorization Honor Period (days)","Autorisatie Eer Periode (dagen)"
"Authorization expired.","Autorisatie verlopen."
"Authorization transaction is required to void.","Autorisatie transactie moet vernietigd worden."
