"User Name","Nome do Usuário"
"First Name","Primeiro nome"
"Last Name","Último nome"
Email,E-mail
"Password Confirmation","Confirmação de Senha"
Configuration,Configuração
"File System","Arquivo de Sistema"
Database,"Base de Dados"
Welcome,"Bem Vindo"
"Personal Information","Informações pessoais"
"User Password","Senha do Usuário"
"Email Address","Endereço de e-mail"
Password,Senha
"Confirm Password","Confirmar a senha"
Continue,Continue
Download,Baixar
"Login Information","Informações de login"
"Required Fields","Campos Obrigatórios"
"Save Session Files In","Salve Arquivos de Sessão Em"
Locale,Locale
"Time Zone","Fuso Horário"
"Default Currency","Moeda Padrão"
Validation,Validação
"Magento Connect Manager Deployment","Implementação do Gerenciador de Conexão Magento"
"Downloading and installing Magento, please wait...","Baixando e instalando o Magento, por favor, espere..."
"Setting preferred state to: %1","Setting preferred state to: %1"
"The URL ""%1"" is not accessible.","The URL ""%1"" is not accessible."
"The URL ""%1"" is invalid.","The URL ""%1"" is invalid."
"Response from the server is invalid.","Response from the server is invalid."
"PHP Extensions ""%1"" must be loaded.","PHP Extensions ""%1"" must be loaded."
"The database server version doesn't match system requirements (required: %1, actual: %2).","The database server version doesn't match system requirements (required: %1, actual: %2)."
"Database server does not support the InnoDB storage engine.","O servidor do banco de dados não suporta o mecanismo de armazenamento InnoDB."
"Something went wrong while connecting to the database.","Something went wrong while connecting to the database."
"The Database Name field cannot be empty.","The Database Name field cannot be empty."
"The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_); the first character should be a letter.","The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_); the first character should be a letter."
"Path ""%1"" must be writable.","Path ""%1"" must be writable."
"Welcome to Magento's Installation Wizard","Bem-vindo ao Assistente de Instalação do Magento"
"I agree to the above terms and conditions.","Eu concordo com os termos e condições acima."
"Web access options","Opções de acesso web"
"Base URL","URL Base"
"Admin Path","Caminho Administrativo"
"This is the additional path used after your base URL to access your store Admin (e.g, Admin).","This is the additional path used after your base URL to access your store Admin (e.g, Admin)."
"Enable Charts","Habilitar Gráficos"
"Enable this option if you want to see the charts on your dashboard.","Enable this option if you want to see the charts on your dashboard."
"Skip Base URL Validation Before the Next Step","Pular Validação URL Base Antes do Próximo Passo"
"Check this box only if it is not possible to automatically validate the Base URL.","Marque esta caixa apenas se não é possível validar automaticamente o URL Base."
"Use Web Server (Apache) Rewrites","Use Servidor Web (Apache) Reescrito"
"You could enable this option to use web server rewrites functionality for improved Search Engine Optimization.","You could enable this option to use web server rewrites functionality for improved Search Engine Optimization."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Por favor, certifique-se que <code>mod_rewrite</code> está ativado na configuração Apache."
"Use Secure URLs (SSL)","Use URLs (SSL) Seguros"
"Enable this option only if you have SSL available.","Habilite esta opção se tiver SSL disponível."
"Secure Base URL","URL Base Segura"
"Provide a complete base URL for SSL connection. For example: %1.","Provide a complete base URL for SSL connection. For example: %1."
"Run admin interface with SSL","Execute a interface de administração com SSL"
"Skip Secure URL validation before next step","Pular Validação URL Segura antes do Próximo Passo"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Marque esta caixa apenas se não é possível validar automaticamente o URL Seguro, por exemplo se a autenticação HTTP é necessária."
"Session Storage Options","Opções de Armazenamento de Sessão"
"Save Session Data In","Salve Dados de Sessão Em"
"Please set all required settings before clicking ""Continue"".","Please set all required settings before clicking ""Continue""."
"Create Admin Account","Crie uma Conta de Administrador"
Username,"Nome do usuário"
"Encryption Key","Chave criptografada."
"Magento uses this key to encrypt passwords, credit cards and more. If you don't fill in this field, we'll create your encryption key and show it to you on the next page.","Magento uses this key to encrypt passwords, credit cards and more. If you don't fill in this field, we'll create your encryption key and show it to you on the next page."
Connection,Conexão
"Database Connection","Conexão de Base de Dados"
"Database Type","Tipo de Banco de Dados"
Host,Anfitrião
"Database host","Servidor de banco de dados"
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","Você pode especificar a porta do servidor, ex.: localhost:3307<br />Se você não estiver usando o socket UNIX predefinido, você pode especificá-lo aqui em vez do host, ex.: /var/run/mysqld/mysqld.sock"
"Database Name","Nome da Base de Dados"
"Database user name","Nome de usuário do banco de dados"
"Database user password","Senha de usuário do banco de dados"
"Tables Prefix","Prefixo das Tabelas"
"(Optional. Leave blank for no prefix)","(Opcional. Deixe em branco para nenhum prefixo)"
"All packages were installed. Click 'OK' to continue with installation.","All packages were installed. Click 'OK' to continue with installation."
"Something went wrong installing the Magento packages. Please read the log, correct any errors and try again.","Something went wrong installing the Magento packages. Please read the log, correct any errors and try again."
"As another option, you could try the ""Manual Downloads and Upgrades"" method.","As another option, you could try the ""Manual Downloads and Upgrades"" method."
"Download Magento Core Modules and Updates","Download de atualizações e módulos centrais do Magento"
"Full Download / SVN Installation","Download Completo / Instalação do SVN"
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Se você tiver baixado o pacote completo ou instalado Magento através de SVN, você deve pular pacotes de instalação e validação clicando no botão abaixo."
"Continue Full Download / SVN Installation","Continue a Baixar Tudo/Instalação SVN"
"Package Management through the Web","Gerenciamento de Pacotes através da Web"
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Se você deseja gerenciar pacotes Magento através da interface de administração web, você precisará ter permissões web graváveis aplicadas a todas as pastas e arquivos Magento."
"If your server is running on MS Windows, most probably you will not need to change anything.","Se o servidor estiver correndo em MS Windows, muito provavelmente você não vai precisar mudar nada."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Se você estiver executando o PHP como CGI, seus processos PHP podem ser executados sob o mesmo usuário como o usuário que você usou ao fazer o carregamento de arquivos Magento."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","Em outros casos, você vai precisar fazer arquivos Magento graváveis para o usuário em que o processo do servidor web está em execução."
"Preferred stability: %1","Preferred stability: %1"
"This is the most stable state available for Magento packages.","This is the most stable state available for Magento packages."
"Choose this if you would like to test storefront and admin functionality.","Choose this if you would like to test storefront and admin functionality."
"Proceed With Automatic Download (%1)","Proceed With Automatic Download (%1)"
"If you are a developer and would like to have the latest public updates, choose this option.","Se você é um desenvolvedor e gostaria de ter as últimas atualizações públicas, escolha esta opção."
"Please note that it is much less stable than beta.","Por favor note que é muito menos estável do que o beta."
"Manual Downloads and Upgrades","Transferências de Manual e Atualizações"
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Se você estiver executando o assistente de instalação sobre uma instalação anteriormente baixada e instalada de Magento, prossiga com este método."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Se você não quiser ou não for capaz de ter pastas Magento graváveis para o processo web, você poderia usar PEAR executável localizado na raiz da instalação do Magento."
"Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%1' option.","Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%1' option."
"Run this in your shell from Magento root folder:","Execute isto em seu sistema operativo a partir da pasta raiz Magento:"
"Click the button below when the installation is finished.","Click the button below when the installation is finished."
"Continue After Manual Download","Continue Depois de Baixar Manualmente"
"You're All Set","Você Está Pronto"
"Get ready to experience Open-Source eCommerce Evolved.","Prepare-se para experimentar o Open-Source eCommerce Evolved."
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Antes de continuar para sua loja, por favor, anote sua chave criptografada (Magento a utiliza para criptografar senhas, cartões de crédito e mais)."
"(Make sure you keep it in a safe place.)","(Certifique-se de o manter em um local seguro.)"
"Go to Frontend","Ir para o Frontend"
"Go to Backend","Ir para o Backend"
Localization,Localização
"Locale settings","Configurações locais"
"Magento Installation Wizard","Assistente de Instalação Magento"
Magento,Magento
"Help Us Keep Magento Healthy","Help Us Keep Magento Healthy"
"Report All Bugs","Reporte Todos os Erros"
"(ver. %1)","(ver. %1)"
Installation,Instalação
"Having trouble installing Magento?","Tendo problemas na instalação do Magento?"
"Check out our","Confira nosso"
"Installation Guide","Guia de Instalação"
"License Agreement","Contrato de Licença"
"You're All Set!","Você Está Pronto!"
