" Copy","Copiar"
"Action","Acción"
"Add New Template","Agregar nueva plantilla"
"Add to Queue","Agregar a la cola"
"Allow Guest Subscription","Permitir suscripción de invitados"
"An error occurred while saving your subscription.","Se produjo un error al guardar su suscripción."
"Are you sure that you want to delete this template?","¿Está seguro de que quiere borrar esta plantilla?"
"Are you sure that you want to strip all tags?","¿Está seguro de que desea eliminar todas las etiquetas?"
"Back","Volver"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Cannot mark as received subscriber.","No se puede marcar como suscriptor recibido."
"Confirmation Email Sender","Remitente del correo electrónico de confirmación"
"Confirmation Email Template","Plantilla de correo electrónico de confimación"
"Confirmation request has been sent.","Se envió la solicitud de confirmación."
"Convert to Plain Text","Convertir a texto sin formato"
"Create Newsletter Template","Crear plantilla de boletín informativo"
"Customer","Cliente"
"Customer First Name","Nombre del cliente"
"Customer Last Name","Apellido del cliente"
"Customer My Account Newsletter Subscriptions","Suscripciones al boletín informativo Mi cuenta del cliente"
"Date Added","Añadido el día"
"Date Updated","Fecha de actualización"
"Delete","Eliminar"
"Delete Selected Problems","Eliminar problemas seleccionados"
"Delete Template","Eliminar plantilla"
"Do you really want to cancel the queue?","¿Realmente desea cancelar la cola?"
"Duplicate template code.","Código de plantilla duplicado."
"Edit Newsletter","Editar boletín informativo"
"Edit Newsletter Template","Editar plantilla de boletín informativo"
"Edit Queue","Editar cola"
"Edit Template","Editar plantilla"
"Email","Correo electrónico"
"Error Code","Código de error"
"Error Text","Texto de error"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Siga este enlace para anular su suscripción &lt;!-- Esta etiqueta es para el enlace de anulación--&gt;<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Invitado"
"ID","ID"
"Invalid queue selected.","La cola seleccionada es inválida."
"Invalid subscription ID.","ID de suscripción no válido."
"Invalid subscription confirmation code.","Código de confirmación de suscripción inválido."
"Message","Mensaje"
