"%s","%s"
"-- Please Select --","-- Seleccionar, por favor --"
"Actions","Acciones"
"Add Layout Update","Agregar actualización de diseño"
"Add New Widget Instance","Agregar nueva instancia de aplicación"
"All","Todo"
"All Pages","Todas las páginas"
"All Product Types","Todos los tipos de productos"
"Anchor Categories","Categorías de ancla"
"Apply","Confirmar"
"Assign to Store Views","Asignar a vistas de tienda"
"Big Image","Imagen grande"
"Block Reference","Referencia de bloque"
"CMS","CMS"
"Categories","Categorías"
"Choose...","Elegir..."
"Close","Cerrar"
"Continue","Continuar"
"Default Template","Plantilla por Defecto"
"Delete","Eliminar"
"Design Package/Theme","Diseñar paquete/tema"
"Export to:","Exportar a:"
"Frontend Properties","Propiedades del frontend"
"Generic Pages","Páginas genéricas"
"Images","Imágenes"
"Insert Widget","Insertar aplicación"
"Insert Widget...","Insertar aplicación..."
"Layout Updates","Actualizaciones de diseño"
"Manage Widget Instances","Administrar instancias de aplicación"
"New Instance","Nueva instancia"
"New Widget Instance","Nueva instancia de aplicación"
"Next page","Página siguiente"
"Non-Anchor Categories","Categorías no de ancla"
"Not Selected","No seleccionado"
"Open Chooser","Abrir el buscador"
"Page","Página"
"Please Select Block Reference First","Seleccione primero la referencia de bloque"
"Previous page","Página anterior"
"Products","Productos"
"Remove Layout Update","Eliminar actualización de diseño"
"Save and Continue Edit","Guardar y continuar editando"
"Select All","Seleccionar Todo"
"Select Visible","Seleccionar Visible"
"Settings","Configuración"
"Sort Order","Ordenar Pedido"
"Sort Order of widget instances in the same block reference","Establecer orden de instancias de aplicación en la misma referencia de bloque"
"Specific %s","%s específico"
"Specified Page","Página especificada"
"Template","Plantilla"
"The information in this tab has been changed.","Se ha cambiado la información de esta etiqueta."
"The widget instance has been deleted.","Se eliminó la instancia de aplicación."
"The widget instance has been saved.","Se guardó la instancia de aplicación."
"This tab contains invalid data. Please solve the problem before saving.","Esta etiqueta contiene datos no válidos. Por favor, resuelva el problema antes de guardar."
"Thumbnail","Miniatura"
"Total %d records found","Se ha encontrado un total de %d registros"
"Type","Tipo"
"Undefined Design Package or Theme.","Paquete de diseño o tema no definido."
"Unselect All","Deseleccionar Todo"
"Unselect Visible","Deseleccionar lo Visible"
"View","Ver"
"Widget","Aplicación"
"Widget ""%s""","Widget ""%s"""
"Widget ID","ID de aplicación"
"Widget Insertion","Inserción del widget"
"Widget Instance","Instancia de aplicación"
"Widget Instance Title","Título de instancia de aplicación"
"Widget Options","Opciones de aplicación"
"Widget Type","Tipo de aplicación"
"Widget Type is not specified","No se especificó el tipo de aplicación"
"Widget instance is not full complete to create.","La instancia de aplicación no está completa para crear."
"Widgets","Aplicaciones"
"Wrong widget instance specified.","La instancia de widget especificada es errónea."
"items selected","Artículos elegidos"
"of %s pages","de %s páginas"
"per page","por página"
