"# of Uses","# de Usos"
"%s tag(s) have been accepted for moderation.","%s etiqueta(s) se ha(n) aceptado para ser moderada(s)."
"<strong>Tag Name:</strong> %s","<strong>Nombre de Etiqueta:</strong> %s"
"Action","Acción"
"Add","Añadir"
"Add New Tag","Añadir Nueva Etiqueta"
"Add Tags","Añadir Etiquetas"
"Add Your Tags:","Añadir Tus Etiquetas:"
"Add tag(s) to product","Añadir etiqueta(s) a producto"
"Add to Cart","Añadir al Carrito"
"Add to Wishlist","Añadir a lista que quieres."
"All Tags","Todas la Etiquetas"
"Approved","Aprobado"
"Are you sure you want to delete this tag?","¿Estás seguro de querer borrar esta etiqueta?"
"Are you sure you want to do this?","¿Estás seguro de querer hacer esto?"
"Are you sure?","¿Está seguro?"
"Back","Volver"
"Back to Tags List","Volver a la Lista de Etiquetas"
"Base Popularity","Popularidad Base"
"Block Information","Información de bloque"
"CSV","CSV"
"Catalog Product View","Vista del catálogo de productos"
"Change status","Cambiar estado"
"Click on a tag to view your corresponding products.","Pincha en una etiqueta para ver tus productos correspondientes."
"Country","País"
"Customer My Account My Tags List","Lista de Mis Etiquetas de Mi Cuenta de Cliente"
"Customer My Account Tag View","Vista de Etiqueta de Mi Cuenta de Cliente"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Customers Submitted this Tag","Clientes que han Enviado esta Etiqueta"
"Customers Tagged '%s'","Clientes que han Etiquetado '%s'"
"Delete","Eliminar"
"Delete Tag","Borrar Etiqueta"
"Disabled","Deshabilitado"
"Edit Tag '%s'","Editar Etiqueta '%s'"
"Email","Correo electrónico"
"First Name","Nombre"
"General Information","Información general"
"Grid","Parrilla"
"ID","ID"
"Info","Información"
"Last Name","Apellido"
"List","Lista"
"Manage Tags","Gestionar Etiquetas"
"My Recent Tags","Mis Etiquetas Recientes"
"My Tags","Mis Etiquetas"
"Name","Nombre"
"New Tag","Nueva Etiqueta"
"No matches found.","No se han encontrado coincidencias."
"Other people marked this product with these tags:","Otras personas han destacado este producto con estas etiquetas:"
"Pending","Pendiente"
"Pending Tags","Etiquetas Pendientes"
"Popular","Popular"
"Popular Tags","Etiquetas Populares"
"Price","Precio"
"Product Name","Nombre de Producto"
"Product SKU","Unidad de Mantenimiento de Existencias de Producto"
"Product Tag API","API de la Etiqueta de Producto"
"Product Tags","Etiqueta de Producto"
"Products","Productos"
"Products Tagged by Administrators","Productos Etiquetados por los Administradores"
"Products Tagged by Customers","Productos Etiquetados por los Clientes"
"Products Tagged with '%s'","Productos Etiquetados con '%s'"
"Products tagged with '%s'","Productos etiquetados con '%s'"
"Rebuild Tag aggregation data","Reconstruir datos de agregación de Etiqueta"
"Remove","Borrar"
"Remove product tag","Quitar etiqueta de producto"
"Retrieve list of tags by product","Recuperar lista de etiquetas por producto"
"Retrieve product tag info","Recuperar información de la etiqueta de producto"
"SKU","SKU"
"Save Tag","Guardar Etiqueta"
"Save and Continue Edit","Guardar y continuar editando"
"Status","Estado"
"Store View","Ver Tienda"
"Tag","Etiqueta"
"Tag ""%s"" has already been added to the product.","Ya se ha añadido la etiqueta ""%s"" al producto."
"Tag ""%s"" has been added to the product.","Se ha añadido la etiqueta ""%s"" al producto."
"Tag ""%s"" has been rejected by administrator.","La etiqueta ""%s"" ha sido rechazada por el administrador."
"Tag Aggregation Data","Datos de Agregación de Etiqueta"
"Tag Name","Nombre de la etiqueta"
"Tagged Products List","Lista de Productos Etiquetados"
"Tags","Etiquetas"
"Tags List (All Available)","Lista de Etiquetas (Todas Disponibles)"
"Tags List Before","Lista de etiquetas antes de"
"Tags:","Etiquetas:"
"Telephone","Teléfono"
"The tag has been deleted.","Se ha borrado la etiqueta."
"There are no tags available.","No hay etiquetas disponibles."
"Unable to find any products tagged with '%s' in the current store","No ha sido posible encontrar ningún producto etiquetado con '%s' en la tienda actual"
"Unable to remove tag. Please, try again later.","No ha sido posible eliminar la etiqueta. Por favor, inténtalo más tarde."
"Unable to save tag(s).","No ha sido posible guardar la(s) etiqueta(s)."
"Update","Actualizar"
"Update product tag","Actualizar etiqueta de producto"
"Use spaces to separate tags. Use single quotes (') for phrases.","Utiliza espacios para separar las etiquetas. Usa comillas simples (') para expresiones."
"View All Tags","Ver Todas las Etiquetas"
"View Customers","Ver Clientes"
"View Products","Ver Productos"
"XML","XML"
"You have not tagged any products yet.","Todavía no has etiquetado ningún producto."
"ZIP/Post Code","Código postal"
"[STORE VIEW]","[VER TIENDA]"
