"Action","Acción"
"An error occurred while writing to the backup file ""%s"".","Ocurrió un error al guardar el archivo de la copia de seguridad ""%s""."
"Backup file ""%s"" cannot be read from or written to.","No se puede leer o escribir en el archivo de la copia de seguridad ""%s""."
"Backup file ""%s"" does not exist.","El archivo de la copia de seguridad ""%s"" no existe."
"Backup file does not exist.","El archivo de copia de seguridad no existe."
"Backup file handler was unspecified.","No se ha especificado el procesador del archivo de copia de seguridad."
"Backup file path was not specified.","No se ha especificado la ruta del archivo de copia de seguridad."
"Backups","Copias de seguridad"
"Cannot read backup file.","No se puede leer el archivo de copia de seguridad."
"Create Backup","Crear Copia de seguridad"
"DB","DB"
"Database was successfuly backed up.","Se ha creado con éxito una copia de seguridad de la base de datos."
"Download","Descargar"
"Size, Bytes","Tamaño, Bytes"
"The file was compressed with Zlib, but this extension is not installed on server.","El archivo ha sido comprimido con Zlib, pero esta extensión no está instalada en el servidor."
"Time","Tiempo"
"Type","Tipo"
"Unable to create backup. Please, try again later.","No se puede crear la copia de seguridad. Por favor, inténtelo de nuevo más tarde."
"Wrong order of creation for new backup.","Orden incorrecta de creación de nueva copia de seguridad."
