"%s codes deleted","%s códigos eliminados"
"%s codes imported","%s códigos importados"
"%s codes not imported","%s códigos no importados"
"%s product in feed.","%s producto en la fuente."
"%s product not in feed.","%s producto no incluido en la fuente."
"Add new","Añadir nuevo"
"Attrib. Set Name","Atrib. Establecer Nombre"
"Attributes map","Asignación de Atributos"
"Cron Frequency","Frecuencia de Cron"
"Cron Hour","Horario de Cron"
"Delete","Eliminar"
"Eav code","código VAE"
"FTP Password","Contraseña FTP"
"FTP Path","Ruta FTP"
"FTP Server","Servidor FTP"
"FTP Settings","Configuración FTP"
"FTP User","Usuario FTP"
"FTP: Can't delete files","FTP: No se pueden eliminar los archivos"
"Feed","Fuente"
"Feed code","Código de fuente"
"ID","ID"
"Import","Importar"
"Import attribute map","Importar asignación de atributos"
"Import code","Importar código"
"In Feed","En la fuente"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","Para acceder a la información de su cuenta de FTP, antes debe registrar y verificar su tienda en el centro de vendedores TheFind Merchant Center. Haga clic <a href=""https://merchant.thefind.com/mc/claim.fhtml"">aquí</a> para comenzar."
"Is imported","Se importa"
"Item params","Parámetros del artículo"
"Manage attributes","Administrar atributos"
"Manage items","Administrar artículos"
"Not import","No importar"
"Not publish","No publicar"
"Price","Precio"
"Product Name","Nombre de Producto"
"Product import","Importación de producto"
"Publish","Publicar"
"SKU","SKU (Número de Referencia)"
"Settings","Configuración"
"The Find","TheFind"
"TheFind Feed Filename","Nombre de archivo de feed de TheFind"
"TheFind feed","Feed de TheFInd"
"Type","Tipo"
"Unable to process an import. ","No se puede procesar una importación."
"Update TheFind Item when Product is Updated","Actualizar artículo de TheFind al actualizar el producto"
