"Action","Acción"
"Add Sitemap","Añadir mapa del sito web"
"Always","siempre"
"CMS Pages Options","Opciones de páginas de CMS (sistema de gestion de contenidos)"
"Categories Options","Opciones de categorias"
"Daily","Diario"
"Edit Sitemap","Editar mapa del sitio web"
"Enabled","Habilitado"
"Error Email Recipient","Error en el destinatario del mensaje"
"Error Email Sender","Error en el remitente del mensaje"
"Error Email Template","Error en la plantilla del mensaje"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","No se puede guardar el archivo ""%s"". Por favor, cerciórese de que el directorio ""%s"" permite la escritura mediante el servidor web."
"Filename","Nombre del archivo"
"Frequency","Frecuencia"
"Generate","Generar"
"Generation Settings","Ajuste generacinal"
"Google Sitemap","Google Sitemap      [[It's used the same way in Spanish]]"
"Hourly","Cada hora"
"ID","Identificación"
"Last Time Generated","Última vez que se generó"
"Link for Google","Enlace para Google"
"Monthly","Mensualmente"
"Never","Nunca"
"New Sitemap","Nuevo mapa del sitio web"
"Path","Camino"
"Please create the specified folder ""%s"" before saving the sitemap.","Por favor, cree el archivo ""%s"" especificado antes de guardar el mapa del sitio."
"Please define correct path","Por favor defina la trayectoria correcta"
"Please make sure that ""%s"" is writable by web-server.","Por favor, cerciórese de que ""%s"" permite la escritura mediante el servidor web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Por favor use solamente las letras (a-z o A-Z), números (0-9) o guón bajo (_) en el nombre del archivo. Ni espacios ni otros carácteres están permitidos"
"Priority","Prioridad"
"Products Options","Opciones de productos"
"Sitemap","Mapa de sitio"
"Sitemap generate Warnings","El mapa del sitio web genera avisos"
"Start Time","Tiempo de inicio."
"Store View","Ver Tienda"
"The priority must be between 0 and 1.","La prioridad debe de estar entre 0 y 1"
"The sitemap ""%s"" has been generated.","Se ha generado el mapa del sitio ""%s""."
"The sitemap has been deleted.","El mapa del sitio web ha sido borrado"
"The sitemap has been saved.","El mapa del sitio web se ha guardado"
"This sitemap no longer exists.","Este mapa del sitio web ya no existe"
"Unable to find a sitemap to delete.","No se puede encontrar el mapa del sitio web para borrarlo"
"Unable to find a sitemap to generate.","No se puede encontrar un mapa del sitio web para ser generado"
"Unable to generate the sitemap.","No se puede generar el mapa del sitio web"
"Valid values range: from 0.0 to 1.0.","Rango de los valores admitidos: desde 0.0 hasta 1.0."
"Weekly","Semanalmente"
"Yearly","Anualmente"
