" and ","y"
" note that the URLs provided below are the correct values for your current website): ","ten en cuenta que las URL proporcionadas abajo sean los valores correctos para tu actual sitio web):"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Para el Tipo ""Servidor Local"") necesitas usar una ruta relativa para instalar Magento var/export o var/import, ej. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Para los nombres de estado de 2 letras de los EE.UU.)"
"(If left empty will be auto-generated)","(Se generará automáticamente si se deja en blanco)"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Incluye más países que los listados abajo. Como el dueño de la aplicación, eres responsable de cumplir con las leyes específicas de cada país relacionadas con la distribución o venta de tu aplicación en ese país, incluyendo tu país natal.)"
"(Leave empty for first spreadsheet)","(Dejar en blanco para la primera hoja de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Los productos se añadirán/actualizarán en esta tienda si la columna 'tienda' está vacía o no aparece en el fichero de importación.)"
"(Shift-)Click or drag to change value","Pulse (Shift-) o arrastre para modificar el valor"
"(Starting with)","(Comenzando con)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Cuando 'No', solo los campos mapeados se importarán. Al hacer los mapas, usa 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Debe aumentar el límite de memoria php antes de modificar este valor)"
"(\\t for tab)","(\t para tabular)"
"- Click on any of the time parts to increase it","- Pulse sobre cualquiera de los fragmentos de tiempo para aumentarlo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenga pulsado el botón del ratón sobre cualquiera de los botones de arriba para obtener una selección más rápida."
"- Use the %s buttons to select month","- Utilice los botones %s para seleccionar el mes"
"- Use the %s, %s buttons to select year","- Utilice los botones %s, %s para seleccionar el año"
"- or Shift-click to decrease it","- o pulse Shift para disminuirlo"
"- or click and drag for faster selection.","- o pulse y arrastre para obtener una selección más rápida."
"-- Please Select Billing Agreement--","-- Por favor, Seleccione el Acuerdo de Facturación--"
"10:40 AM","10:40 a.m."
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"ASCII","ASCII"
"About the calendar","Sobre el calendario"
"Access denied.","Acceso denegado"
"Account Created in:","Cuenta Creada en:"
"Account Created on (%s):","Cuenta Creada en (%s):"
"Account Created on:","Cuenta Creada en:"
"Action","Acción"
"Actions","Acciones"
"Activate","Activar"
"Add Contents Path","Añadir Trayectoria de Contenidos"
"Add Field with URL:","Añadir Campo con URL:"
"Add New Role","Añadir Nuevo Papel"
"Add New User","Añadir Nuevo Usuario"
"Add PHP Extension dependency","Añadir dependencia de la Extensión PHP"
"Add Package dependency","Añadir dependencia del Paquete"
"Add to Cart","Añadir al Carrito"
"Add to Wishlist","Añadir a lista que quieres."
"Address Type:","Tipo de dirección:"
"AirMail Template Preview","Vista Previa de la Plantilla AirMail"
"All","Todo"
"All Websites","Todos los Sitios Web"
"All fields","Todos los campos"
"All locations","Todas las ubicaciones"
"Archive file name:","Nombre del archivo:"
"Are you sure that you want to delete this template?","¿Está seguro de que quiere borrar esta plantilla?"
"Are you sure that you want to strip tags?","¿Está seguro de que quiere eliminar las etiquetas?"
"As low as:","Tan bajo como:"
"Attribute Set Name:","Nombre del conjunto de atributos:"
"Attributes","Atributos"
"Authors","Autores"
"Available Products","Productos disponibles"
"BINARY","BINARIO"
"Back","Volver"
"Big Image","Imagen grande"
"Billing Address","Dirección de facturación"
"Billing Agreement","Acuerdo de facturación"
"Bundle Items","Grupo de Artículos"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Un lote con precio dinámico no puede incluir opciones personalizadas. No se grabarán las opciones."
"CSV / Tab separated","CSV / separado por tabuladores"
"Cancel URL: ","Cancelar URL:"
"Card Verification Number","Número de comprobación de la tarjeta"
"Carrier","Transportista"
"Catalog","Catálogo"
"Chairs","Sillas"
"Change Orientation","Cambiar Orientación"
"Changes have been saved to theme.","Los cambios aplicados al tema se han guardado."
"Channel","Canal"
"Child Transactions","Transacciones hija"
"Choose Store View","Elija vista de tienda"
"Choose a selection...","Elija selección..."
"Clear","Limpiar"
"Client Session Timeout (sec.)","Plazo límite de la sesión cliente (seg.)"
"Close","Cerrar"
"Confirmed email:","Correo electrónico confirmado:"
"Connect with the Magento Community","Conectarse con la comunidad Magento"
"Contents","Contenido"
"Continue","Continuar"
"Country:","País:"
"Created At","Creado en"
"Credit Card %s","%s de la tarjeta de crédito"
"Credit Card Number","Número de la tarjeta de crédito"
"Credit Card Number: xxxx-%s","Número de la tarjeta de crédito: xxxx-%s"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Type: %s","Tipo de tarjeta de crédito: %s"
"Credit Memo History","Historial de facturas rectificativas"
"Credit Memo Totals","Total de las facturas rectificativas"
"Current Configuration Scope:","Rango de configuración actual:"
"Custom","Personalizado"
"Custom Colors","Colores customizados"
"Customer","Cliente"
"Customer Group:","Grupo de clientes:"
"Customer Since:","Cliente desde:"
"Customers","Clientes"
"DHTML Date/Time Selector","Selector de fecha/hora DHTML"
"Dashboard","Panel de control"
"Data Format","Formato de la fecha"
"Data transfer:","Transferencia de datos:"
"Date selection:","Elección de la fecha:"
"Date selector","Selector de fechas"
"Decimal separator:","Separador de decimales:"
"Default (Admin) Values","Valores iniciales (de admin.)"
"Default Billing Address","Dirección de Facturación por Defecto"
"Default Response Charset","Conjunto de caracteres de respuesta por omisión"
"Default Values","Valores por Defecto"
"Delete","Eliminar"
"Deselect All","Quitar selección de todo"
"Direction:","Dirección:"
"Display %s first","Mostrar %s primero"
"Distributed under GNU LGPL. See %s for details.","Distribuido según la LGPL de GNU. Para más información véase %s."
"Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode.","No activar opciones AVS o CSC. Estas no funcionan en el modo silencioso Payflow Link."
"Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout.","No determine ningún campo en Información de facturación y envío como editable en su cuenta Payflow."
"Drag to move","Arrastrar para mover"
"Edit Filter","Modificar el filtro"
"Edit Role","Modificar el rol"
"Edit User '%s'","Modificar usuario «%s»"
"Email","Correo electrónico"
"Email Preview","Vista previa de email"
"Email:","Email:"
"Enable Secure Token:","Activar token de seguridad:"
"Enclose Values In:","Adjuntar valores en:"
"Entity Attributes","Atributos de la Entidad"
"Entity type:","Tipo de entidad:"
"Excl. Tax","Impuestos no incluidos"
"Expiration Date","Fecha de Caducidad"
"Expiration Date: %s/%s","Fecha de vencimiento: %s/%s"
"Export","Exportar"
"Export Filters","Exportar filtros"
"Export to:","Exportar a:"
"Export:","Exportar:"
"Extension","Extensión"
"Extensions","Extensiones"
