"-- Please Select --","-- Seleccionar, por favor --"
"Account Registration","Registro de cuenta."
"All fields of script types have to be filled.","Todos los campos de escritura deben ser rellenados."
"Attributes","Atributos"
"Category View Optimization","Optimización de la vista de categorías."
"Control Script","Control de escritura."
"Conversion Page","Pagina de conversión."
"Conversion Page URL","Página de conversión de la URL."
"Conversion Script","Conversión de la escritura."
"Enable","Habilitar"
"Google Optimizer Scripts","Optimizador de escrituras de Google."
"Google Website Optimizer","Optimizador de página web de Google."
"Install Scripts","Instalar escritos."
"Multi Address Checkout","Comprobar multi direcciones."
"One Page Checkout","Compra en una página"
"Order Success (Multi Address Checkout)","Orden de éxito (comprobar multi direcciones)."
"Order Success (One Page Checkout)","Orden de éxito (Comprobar una página)."
"Original Page","Página original."
"Other","Otro(a)."
"Page Type","Tipo de página."
"Page View Optimization","Optimización de la vista de página."
"Please copy and paste this value to experiment edit form","Por favor copie y pegue este valor para experimentar tipo de edición."
"Please copy and paste this value to experiment edit form.","Por favor copie y pegue este valor para experimentar tipo de edición."
"Please select store view to see the URL","Por favor seleccione vista de tienda para ver la URL"
"Please select store view to see the URL.","Por favor seleccione vista de tienda para ver la URL"
"Product View Optimization","Optimización de vista de producto."
"Scripts Install URL","Escritura de instalación de URL"
"Shopping Cart","Cesta de la Compra"
"The limit is 8 attributes only.","El límite son solo 8 atributos"
"Tracking Script","Escrito de seguimiento"
"Use Default","El uso por defecto"
"Use Default Values","Use valores predeterminados"
"Variant Page","Página variante"
