"10 minutes","10 minutos"
"15 minutes","15 minutos"
"20 minutes","20 minutos"
"30 minutes","30 minutos"
"5 minutes","5 minutos"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron. (tareas programadas), todos los tiempos se expresan en minutos"
"Daily","Diario"
"Failure History Lifetime","Período de validez del historial de errores"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","En el caso de las direcciones URL correctas generadas durante ejecuciones de cron, asegúrese de configurar expresamente Web > Direcciones URL básicas seguras y no seguras."
"Generate Schedules Every","Generar programas cada"
"History Cleanup Every","Borrar el historial cada"
"Hourly","Cada hora"
"Invalid callback: %s::%s does not exist","Llamada no válida: %s::%s no existe"
"Invalid model/method definition, expecting ""model/class::method"".","Definición de modelo/método no válida, a la espera de ""model/class::method"". "
"Minute Intervals","Intervalos en minutos"
"Missed if Not Run Within","Falla si no se ejecuta dentro de"
"Monthly","Mensualmente"
"No callbacks found","No se encontraron llamadas"
"Schedule Ahead for","Programar con anticipación"
"Success History Lifetime","Período de validez del historial de ejecuciones correctas"
"Too late for the schedule.","Es demasiado tarde para este programa."
"Unable to delete the cron task.","No se ha podido borrar la tarea programada."
"Unable to save the cron expression.","No se puede guardar la expresión de cron."
"Unknown error.","Error desconocido."
"Weekly","Semanalmente"
