"Actions","Acciones"
"Add Answer","Añadir respuesta"
"Add New Answer","Añadir nueva respuesta"
"Add New Poll","Añadir nueva encuesta"
"Answer Title","Título de la respuesta"
"Answer Title:","Título de la respuesta:"
"Answer with the same title in this poll","Respuesta con el mismo título en esta encuesta"
"Are you sure you want to delete it?","Está seguro de que desea borrarla?"
"Assigned Answers","Respuesta asignada"
"Closed","Cerrado"
"Community Poll","Encuesta de la comunidad"
"Date Closed","Fecha de cierre"
"Date Posted","Fecha de publicación"
"Delete","Eliminar"
"Delete Answer","Borrar respuesta"
"Delete Poll","Borrar encuesta"
"Disallow Voting in a Poll Multiple Times from Same IP-address","No permitir votar en una encuesta múltiples veces desde la misma dirección IP"
"Edit Answer '%s'","Editar respuesta '%s'"
"Edit Poll '%s'","Editar encuesta '%s'"
"Edit Poll Answer","Editar respuesta de la encuesta"
"ID","Identificación"
"Invalid Answer.","Respuesta inválida."
"New Poll","Nueva encuesta"
"Number of Responses","Número de respuestas"
"Open","Abrir"
"Poll Answers","Respuestas de la encuesta"
"Poll Information","Información de la encuesta"
"Poll Manager","Administrador de encuesta"
"Poll Question","Pregunta de encuesta"
"Poll information","Información sobre la encuesta"
"Poll with the same question","Encuesta con la misma pregunta"
"Polls","Encuestas"
"Save Answer","Guardar respuesta"
"Save Poll","Guardar encuesta"
"Status","Estado"
"The answer has been saved.","La respuesta ha sido guardada."
"The poll does not exist.","La encuesta no existe."
"Unable to find an answer to delete.","No se puede encontrar una respuesta para borrar"
"Visible In","Visible en"
"Vote","Votar"
"Votes Count","Número de votos"
"Votes Count:","Número de votos:"
