"* Required Fields","* Campos Requeridos"
"Comment","Comentario"
"Contact Form","Formulario de contacto"
"Contact Information","Información de Contacto"
"Contact Us","Contáctenos"
"Contact Us Form","Formulario de contacto"
"Contacts","Contactos"
"Contacts Section","Sección de contactos"
"Email","Correo electrónico"
"Email Options","Opciones de correo electrónico"
"Email Sender","Remitente del email"
"Email Template","Plantilla de email"
"Enable Contact Us","Activar Contactar"
"Name","Nombre"
"Send Emails To","Enviar correo electrónico a"
"Submit","Enviar"
"Telephone","Teléfono"
"Unable to submit your request. Please, try again later","No se ha podido enviar su solicitud. Por favor, inténtelo más tarde"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Su solicitud ha sido enviada y le responderemos con la mayor brevedad posible. Gracias por contactar con nosotros"
