"""Remember Me"" Default Value","“记住我”的默认值"
"(Not %s?)","（不是 %s ？）"
"* Required Fields","*必要字段"
"Address","地址"
"Address Information","地址信息"
"Already registered?","已注册？"
"Back","返回"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","通过在我们的店铺中创建帐户，您将能用更快速度结账，保存多个送货地址，并可在您的帐户中查看并追踪您的订单，还有更多功能。"
"Cannot load configuration from file %s.","无法从文件 %s 加载配置"
"Checkout as Guest","作为来宾结账"
"Checkout as a Guest or Register","以来宾身份结账或注册"
"City","城市"
"Clear Persistence on Log Out","注销时清空选项"
"Close","关闭"
"Company","公司"
"Confirm Password","确认密码"
"Continue","继续"
"Country","国家"
"Create an Account","创建帐户"
"Easy access to your order history and status","轻松访问您的订单历史记录和状态"
"Email Address","编辑电子邮件地址"
"Enable ""Remember Me""","启用“记住我”"
"Enable Persistence","启用保留"
"Fast and easy check out","方便快捷的结账"
"Fax","传真"
"Forgot Your Password?","忘记您的密码？"
"Forgot your password?","忘记您的密码？"
"General Options","常规选项"
"If you have an account with us, please log in.","如果您拥有账户，请登录。"
"Loading next step...","正在载入下一步..."
"Login","登录"
"Login Information","登录信息"
"Login or Create an Account","登录或创建帐户"
"New Customers","新客户"
"Password","密码"
"Persist Shopping Cart","保留购物车"
"Persistence Lifetime (seconds)","保留寿命（秒）"
"Persistent Shopping Cart","保留购物车"
"Personal Information","个人信息"
"Please log in below:","请在下面登录："
"Please select region, state or province","请选择地区、州，或省"
"Register","注册"
"Register and save time!","注册并节约时间！"
"Register to Create an Account","注册以创建帐户"
"Register with us for future convenience:","在这里注册以后可以更方便："
"Registered Customers","已注册的客户"
"Remember Me","记住我"
"Save in address book","保存到地址簿"
"Select State/Province...","选择州/省..."
"Select a billing address from your address book or enter a new address.","从您的地址簿选择账单地址，或输入新地址。"
"Ship to different address","送货到不同地址"
"Ship to this address","送货到这个地址"
"Shopping cart has been updated with appropriate prices","购物车已使用正确的价格更新"
"Sign Up for Newsletter","订阅新闻邮件"
"State/Province","州/省"
"Street Address","街道地址"
"Street Address %s","街道地址 %s"
"Submit","提交"
"Telephone","电话"
"To proceed to Checkout, please log in using your email address.","要继续结账，请使用你的电子邮件地址登录。"
"VAT Number","VAT 编号"
"Welcome, %s!","欢迎，%s！"
"What\'s this?","这是什么？"
"Zip/Postal Code","邮政编码"
