All,Todos
"Are you sure?","Are you sure?"
No,Não
Action,Action
Edit,Edit
Results,Resultados
Uses,Uses
Delete,Delete
Store,Store
Yes,Sim
Home,Início
Search,Pesquisa
"Search Query","Search Query"
"Redirect URL","Redirect URL"
"Go to Home Page","Ir para Página Inicial"
Grid,Grade
List,Lista
"Catalog Advanced Search","Pesquisa Avançada do Catálogo"
Relevance,Relevância
"Search results for: '%1'","Search results for: '%1'"
"Minimum Search query length is %1","Minimum Search query length is %1"
"Your search query can't be longer than %1, so we had to shorten your query.","Your search query can't be longer than %1, so we had to shorten your query."
"Sorry, but the maximum word count is %1. We left out this part of your search: %2.","Sorry, but the maximum word count is %1. We left out this part of your search: %2."
"Please specify at least one search term.","Especifique ao menos um termo de pesquisa."
"%1 and greater","%1 and greater"
"up to %1","up to %1"
"Attribute setting change related with Search Index. Please run <a href=""%1"">Rebuild Search Index</a> process.","Attribute setting change related with Search Index. Please run <a href=""%1"">Rebuild Search Index</a> process."
"Catalog Search","Busca de Catálogo"
"Rebuild Catalog product fulltext search index","Reconstruir índice de pesquisa de texto completo de produto do catálogo"
"Please specify correct data.","Please specify correct data."
"Search Settings","Opções de pesquisa"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> were found using the following search criteria"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria"
"No items were found using the following search criteria.","Nenhum item foi encontrado utilizando o seguinte critério de pesquisa."
"Modify your search","Modifique sua pesquisa"
name,name
"Don't see what you're looking for?","Não vê o que você está procurando?"
"Search entire store here...","Pesquise toda a loja aqui..."
"Advanced Search","Pesquisa Avançada"
"Your search returns no results.","Sua busca não retornou resultados."
"There are no search terms available.","Não há termos de pesquisa disponíveis."
"Popular Search Terms","Termos populares de pesquisa"
"Minimal Query Length","Minimal Query Length"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Applies for ""Like"" search type only","Applies for ""Like"" search type only"
"Search Type","Search Type"
"Apply Layered Navigation if Search Results are Less Than","Apply Layered Navigation if Search Results are Less Than"
"Enter ""0"" to enable layered navigation for any number of results.","Enter ""0"" to enable layered navigation for any number of results."
Synonym,Synonym
"Suggested Terms","Suggested Terms"
yes,yes
no,no
