All,Alle
"Are you sure?","Are you sure?"
No,Nein
Action,Action
Edit,Edit
Results,Ergebnisse
Uses,Uses
Delete,Delete
Store,Store
Yes,Ja
Home,Startseite
Search,Suche
"Search Query","Search Query"
"Redirect URL","Redirect URL"
"Go to Home Page","Zur Startseite gehen"
Grid,Raster
List,Liste
"Catalog Advanced Search","Katalog Erweiterte Suche"
Relevance,Relevanz
"Search results for: '%1'","Search results for: '%1'"
"Minimum Search query length is %1","Minimum Search query length is %1"
"Your search query can't be longer than %1, so we had to shorten your query.","Your search query can't be longer than %1, so we had to shorten your query."
"Sorry, but the maximum word count is %1. We left out this part of your search: %2.","Sorry, but the maximum word count is %1. We left out this part of your search: %2."
"Please specify at least one search term.","Bitte geben Sie zumindest einen Suchbegriff ein."
"%1 and greater","%1 and greater"
"up to %1","up to %1"
"Attribute setting change related with Search Index. Please run <a href=""%1"">Rebuild Search Index</a> process.","Attribute setting change related with Search Index. Please run <a href=""%1"">Rebuild Search Index</a> process."
"Catalog Search","Katalog Suche"
"Rebuild Catalog product fulltext search index","Katalog Produktvolltext Suchindex neu generieren."
"Please specify correct data.","Please specify correct data."
"Search Settings",Sucheinstellungen
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> were found using the following search criteria"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria"
"No items were found using the following search criteria.","Es wurden keine Artikel mit den folgenden Suchkriterien gefunden."
"Modify your search","Verändern Sie Ihre Suche"
name,name
"Don't see what you're looking for?","Nicht gefunden, was Sie suchen?"
"Search entire store here...","Den gesamten Shop durchsuchen..."
"Advanced Search","Erweiterte Suche"
"Your search returns no results.","Ihre Suche ergab keine Ergebnisse."
"There are no search terms available.","Es sind keine Suchbegriffe verfügbar."
"Popular Search Terms","Beliebte Suchbegriffe"
"Minimal Query Length","Minimal Query Length"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Applies for ""Like"" search type only","Applies for ""Like"" search type only"
"Search Type","Search Type"
"Apply Layered Navigation if Search Results are Less Than","Apply Layered Navigation if Search Results are Less Than"
"Enter ""0"" to enable layered navigation for any number of results.","Enter ""0"" to enable layered navigation for any number of results."
Synonym,Synonym
"Suggested Terms","Suggested Terms"
yes,yes
no,no
